"Products","Months","Total Sales ($)"
"Concentrate - Strain Blends - Distillate Cartridge","04/2021","901,570.8103610002"
"Connected Cannabis Co. - Biscotti - Flower (Gram)","09/2020","899,428.2443"
"Connected Cannabis Co. - Gelonade - Flower (Gram)","07/2020","890,985.1288389999"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC","06/2020","888,132.118683"
"Pacific Stone - 805 Glue - Flower (Gram)","06/2021","888,039.7781710001"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack","07/2021","886,263.5756730003"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC","05/2020","884,201.5807719999"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC","09/2021","883,430.4295920001"
"Pacific Stone - 805 Glue - Flower (Gram)","08/2021","883,345.621349"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC","11/2019","879,947.9548219999"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC","11/2019","878,520.2663509999"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC","12/2018","874,504.5541629998"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD","04/2020","873,182.1644700001"
"Concentrate - Strain Blends - Distillate Cartridge","05/2021","866,684.2161000007"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD","09/2021","855,469.781406"
"Care By Design  - 18:1 - CBD Drops - 15ml, 15mg THC, 300mg CBD","11/2018","853,342.8225230001"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC","11/2018","851,281.0128110001"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC","04/2021","850,381.0500060001"
"Pacific Stone - 805 Glue - Flower (Gram)","07/2021","847,915.970669"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD","01/2020","845,028.960902"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC","04/2020","844,694.6576060001"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack","12/2018","844,525.0169300004"
"Caliva - Alien OG - Flower (Gram)","04/2021","844,465.834313"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC","10/2019","842,517.9324139999"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC","10/2018","842,083.057226"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD","12/2019","839,807.5152460001"
"Pacific Stone - 805 Glue - Flower (Gram)","02/2021","838,704.002955"
"Care By Design  - 18:1 - CBD Drops - 15ml, 15mg THC, 300mg CBD","12/2018","835,320.3710990001"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC","02/2019","834,553.936498"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC","11/2019","834,175.619326"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC","02/2020","832,509.5154570001"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD","09/2019","832,021.922774"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC","12/2019","831,693.071986"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack","05/2021","822,912.3151760002"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC","01/2021","822,574.400164"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD","01/2019","821,027.701489"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD","04/2019","819,921.114321"
"Pacific Stone - Wedding Cake - Flower (Gram)","06/2020","818,895.547114"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC","09/2020","814,789.1195410001"
"Care By Design  - 18:1 - CBD Drops - 15ml, 15mg THC, 300mg CBD","04/2019","813,731.2465179999"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC","05/2019","812,132.3987590001"
"Pacific Stone - 805 Glue - Flower (Gram)","02/2020","811,719.2680929999"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD","03/2019","809,499.648964"
"Pacific Stone - Private Reserve OG - Flower (Gram)","01/2020","809,292.8498519999"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC","01/2021","806,630.7247440001"
"Care By Design  - 18:1 - CBD Drops - 15ml, 15mg THC, 300mg CBD","10/2018","805,311.751835"
"Care By Design  - 18:1 - CBD Drops - 15ml, 15mg THC, 300mg CBD","02/2019","803,908.9482829999"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC","10/2018","799,433.7068490001"
"Pacific Stone - Private Reserve OG - Flower (Gram)","08/2020","798,001.831692"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC","07/2021","796,437.386193"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC","03/2020","794,956.625566"
"Pacific Stone - Wedding Cake - Flower (Gram)","09/2021","792,998.7400219999"
"Care By Design  - 18:1 - CBD Drops - 15ml, 15mg THC, 300mg CBD","01/2019","791,747.8636779999"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC","06/2020","790,040.529883"
"Care By Design  - 18:1 - CBD Drops - 15ml, 15mg THC, 300mg CBD","07/2019","789,218.5329229999"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD","02/2019","788,478.642918"
"Care By Design  - 18:1 - CBD Drops - 15ml, 15mg THC, 300mg CBD","03/2019","787,184.2036669999"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC","11/2018","786,880.54092"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack","06/2021","782,034.823167"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack","04/2021","780,980.7910869999"
"Care By Design  - 18:1 - CBD Drops - 15ml, 15mg THC, 300mg CBD","08/2019","779,574.818207"
"Concentrate - Strain Blends - Distillate Cartridge","01/2021","772,238.3175679992"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC","03/2020","770,977.191907"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC","07/2021","770,328.7183429999"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC","12/2019","769,795.021784"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC","01/2019","768,645.376156"
"Caliva - Alien OG - Flower (Gram)","03/2021","767,572.2592519999"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC","07/2020","761,154.704852"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC","12/2019","760,779.474512"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC","01/2020","759,005.700417"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC","06/2019","758,929.379793"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC","05/2021","758,521.420876"
"Papa & Barkley - Releaf Tincture - CBD Rich - 30:1 - 30ml, 30mg THC, 870mg CBD","04/2019","757,434.1105230001"
"Up North Humboldt - Durban Poison - Flower (Gram)","06/2020","756,293.073842"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD","04/2021","756,084.030043"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC","01/2020","754,324.386552"
"Caliva - Alien OG - Flower (Gram)","05/2021","753,630.749407"
"Care By Design  - 18:1 - CBD Drops - 15ml, 15mg THC, 300mg CBD","05/2019","752,782.1577959999"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC","07/2019","751,765.704175"
"Connected Cannabis Co. - Biscotti - Flower (Gram)","07/2020","750,473.325958"
"Up North Humboldt - Durban Poison - Flower (Gram)","03/2020","748,531.6030639999"
"Concentrate - Strain Blends - Distillate Cartridge","03/2021","747,602.7532950004"
"Care By Design  - 18:1 - CBD Drops - 15ml, 15mg THC, 300mg CBD","06/2019","743,323.8778339999"
"Private Label - Vape Pen","12/2018","743,101.2483759997"
"Pacific Stone - Wedding Cake - Flower (Gram)","05/2020","740,342.281536"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC","07/2020","738,380.583404"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD","05/2019","735,207.1155170001"
"Stiiizy - Vape Pen","02/2021","735,193.669063"
"Concentrate - Strain Blends - Oil Cartridge","04/2020","734,043.1405279986"
"Pacific Stone - 805 Glue - Flower (Gram)","01/2020","732,931.094567"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC","07/2020","732,716.099318"
"Private Label - Vape Pen","10/2018","732,133.1064830001"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC","06/2020","730,556.657692"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack","01/2019","730,054.3004099998"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC","08/2020","728,370.038646"
"Up North Humboldt - Durban Poison - Flower (Gram)","08/2019","726,658.1210629999"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD","11/2018","724,717.970937"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC","07/2021","724,539.270094"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC","09/2020","723,501.967043"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC","05/2021","723,189.5503700001"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC","04/2021","722,695.30687"
"Papa & Barkley - Releaf Tincture - CBD Rich - 30:1 - 30ml, 30mg THC, 870mg CBD","05/2019","721,544.4850900001"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC","02/2021","720,384.2170460001"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC","02/2020","719,005.8787029999"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD","10/2018","717,699.472242"
"Concentrate - Strain Blends - Oil Cartridge","05/2020","716,407.3317959988"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC","04/2020","715,614.1462179999"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC","03/2020","715,209.7431470001"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC","04/2020","715,135.557957"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC","10/2019","714,312.9994989999"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD","06/2019","711,187.8980559999"
"Up North Humboldt - Durban Poison - Flower (Gram)","11/2020","710,745.632931"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC","09/2021","709,849.359998"
"Stiiizy - Skywalker OG - Distillate Cartridge, 1000mg","08/2021","709,656.305236"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC","12/2020","708,853.9803309999"
"Stiiizy - Skywalker OG - Distillate Cartridge, 1000mg","06/2021","708,570.1766329999"
"Stiiizy - Blue Dream - Distillate Cartridge, Blueberry, 1000mg","07/2021","708,287.4452480001"
"Stiiizy - Vape Pen","01/2021","706,881.1672270001"
"Sublime Canna - Mini Fuzzies - OG Kush - Indica - Infused Pre-Rolled, 0.80g, 3 Pack","07/2020","705,099.4807819999"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD","07/2019","705,068.67412"
"THC Design - Crescendo - Flower (Gram)","09/2020","704,676.732804"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC","04/2019","701,767.209205"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC","10/2020","699,726.0635279999"
"Private Label - Vape Pen","08/2019","697,577.4299100002"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC","05/2020","697,573.708412"
"Concentrate - Strain Blends - Distillate Cartridge","10/2020","696,958.8129890002"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD","11/2019","696,724.807868"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC","08/2021","695,947.71985"
"Private Label - Vape Pen","07/2019","694,670.9698689994"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC","12/2020","693,653.208949"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC","03/2021","693,116.617552"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC","02/2021","687,577.2511519999"
"Fun Uncle - Shotgun OG - Flower (Gram)","12/2020","687,229.341158"
"Private Label - Vape Pen","11/2018","686,713.9059610001"
"Private Label - Vape Pen","05/2019","686,670.7584690001"
"Concentrate - Strain Blends - Distillate Cartridge","02/2021","686,495.7626309997"
"Stiiizy - Vape Pen","08/2020","685,429.577952"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC","06/2020","685,018.563395"
"Fun Uncle - Shotgun OG - Flower (Gram)","01/2021","684,833.125011"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack","06/2019","684,295.8511900002"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC","01/2020","684,181.246101"
"Sublime Canna - Mini Fuzzies - Super Silver Haze - Sativa - Infused Pre-Rolled, 0.80g, 3 Pack","07/2020","684,022.137715"
"Up North Humboldt - Durban Poison - Flower (Gram)","09/2020","683,405.0321789999"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC","09/2021","681,748.68761"
"Papa & Barkley - Releaf Tincture - CBD Rich - 30:1 - 30ml, 30mg THC, 870mg CBD","06/2019","680,795.5010780001"
"THC Design - Crescendo - Flower (Gram)","01/2021","680,673.923548"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC","06/2021","680,457.522093"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC","06/2021","680,192.827685"
"Papa & Barkley - Releaf Tincture - CBD Rich - 30:1 - 30ml, 30mg THC, 870mg CBD","03/2019","677,882.931845"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC","05/2020","675,979.961284"
"Stiiizy - Blue Dream - Distillate Cartridge, Blueberry, 1000mg","06/2021","675,695.119782"
"Stiiizy - Vape Pen","12/2020","674,963.1981279999"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC","02/2020","674,631.7418910001"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC","05/2019","673,814.6384559999"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC","03/2021","672,344.343054"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC","01/2021","671,187.1394860001"
"Stiiizy - Blue Dream - Distillate Cartridge, Blueberry, 1000mg","05/2021","671,104.4756270001"
"Care By Design  - 18:1 - CBD Drops - 15ml, 15mg THC, 300mg CBD","09/2019","670,107.1021319999"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC","07/2020","669,992.0525090001"
"Pacific Stone - Wedding Cake - Flower (Gram)","04/2020","669,174.96693"
"Concentrate - Strain Blends - Oil Cartridge","01/2020","668,801.271156"
"Stiiizy - Vape Pen","09/2020","667,814.173512"
"Stiiizy - Blue Dream - Distillate Cartridge, Blueberry, 1000mg","04/2021","667,165.568568"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD","11/2019","665,994.0491630001"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC","09/2020","662,557.529884"
"Stiiizy - Vape Pen","07/2020","661,197.2393690001"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD","10/2019","661,075.891592"
"Sublime Canna - Mini Fuzzies - Super Silver Haze - Sativa - Infused Pre-Rolled, 0.80g, 3 Pack","08/2020","657,395.088147"
"Up North Humboldt - Durban Poison - Flower (Gram)","09/2019","655,848.0408440001"
"Concentrate - Strain Blends - Distillate Cartridge","12/2020","655,534.61663"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC","08/2020","654,632.3447769999"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC","02/2020","654,556.7657410001"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC","08/2021","654,548.619652"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD","03/2020","653,924.41959"
"Stiiizy - Skywalker OG - Distillate Cartridge, 1000mg","05/2021","652,139.314243"
"Up North Humboldt - Durban Poison - Flower (Gram)","07/2020","651,665.262187"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC","10/2019","651,191.293664"
"Sublime Canna - Mini Fuzzies - Super Silver Haze - Sativa - Infused Pre-Rolled, 0.80g, 3 Pack","09/2020","651,029.982507"
"Stiiizy - Blue Dream - Distillate Cartridge, Blueberry, 1000mg","03/2021","650,980.7495909999"
"Connected Cannabis Co. - Gelonade - Flower (Gram)","06/2020","650,699.870745"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC","11/2019","648,910.6603110001"
"Stiiizy - Vape Pen","11/2020","648,864.308452"
"Connected Cannabis Co. - Gelonade - Flower (Gram)","12/2019","648,006.611451"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC","03/2019","646,922.559536"
"Sublime Canna - Mini Fuzzies - OG Kush - Indica - Infused Pre-Rolled, 0.80g, 3 Pack","08/2020","645,960.603582"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC","05/2020","645,672.521027"
"Up North Humboldt - Durban Poison - Flower (Gram)","05/2020","645,600.7282059999"
"Pacific Stone - 805 Glue - Flower (Gram)","03/2020","643,459.8678880001"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack","02/2019","642,097.6217920005"
"Stiiizy - Pineapple Express - Distillate Cartridge, 1000mg","07/2021","641,315.303511"
"Concentrate - Strain Blends - Oil Cartridge","12/2018","640,235.7646149996"
"Stiiizy - Skywalker OG - Distillate Cartridge, 1000mg","09/2021","639,018.4614159999"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC","09/2021","638,868.141505"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC","06/2020","638,454.965363"
"Pacific Stone - Wedding Cake - Flower (Gram)","02/2020","637,508.077149"
"Papa & Barkley - Releaf Tincture - CBD Rich - 30:1 - 30ml, 30mg THC, 870mg CBD","07/2019","637,266.650657"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC","12/2019","636,238.240432"
"Stiiizy - Vape Pen","10/2020","632,596.595478"
"Concentrate - Strain Blends - Oil Cartridge","10/2020","632,443.4564979997"
"Pacific Stone - Private Reserve OG - Flower (Gram)","12/2019","632,136.893034"
"Concentrate - Strain Blends - Oil Cartridge","01/2019","631,578.4995779997"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC","08/2020","631,305.8914999999"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC","02/2019","630,984.473665"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC","11/2020","630,827.805088"
"Stiiizy - Pineapple Express - Distillate Cartridge, 1000mg","09/2021","630,393.64432"
"THC Design - Crescendo - Flower (Gram)","07/2020","630,172.306948"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC","03/2020","630,018.463354"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 15ml, 45mg THC, 135mg CBD","05/2019","626,621.395666"
"Up North Humboldt - Durban Poison - Flower (Gram)","08/2020","625,937.681813"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC","05/2021","625,344.055544"
"Stiiizy - Skywalker OG - Distillate Cartridge, 1000mg","03/2021","621,331.98477"
"Papa & Barkley - Releaf Tincture - CBD Rich - 30:1 - 30ml, 30mg THC, 870mg CBD","08/2019","620,837.413226"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD","01/2020","618,941.526511"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC","07/2021","617,605.1325610001"
"Private Label - Vape Pen","03/2019","616,972.1715169998"
"Concentrate - Strain Blends - Live Resin","10/2020","616,885.2804780002"
"Sublime Canna - Mini Fuzzies - OG Kush - Indica - Infused Pre-Rolled, 0.80g, 3 Pack","09/2020","616,310.795354"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 50ml, 150mg THC, 450mg CBD","05/2019","615,010.965089"
"Up North Humboldt - Durban Poison - Flower (Gram)","07/2019","614,554.903177"
"Pacific Stone - 805 Glue - Flower (Gram)","04/2020","614,078.790362"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC","04/2020","613,825.6182720001"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC","01/2020","612,562.469465"
"Stiiizy - Skywalker OG - Distillate Cartridge, 1000mg","07/2021","611,864.944579"
"Concentrate - Strain Blends - Oil Cartridge","11/2020","609,627.43609"
"Pacific Stone - Wedding Cake - Flower (Gram)","03/2020","608,402.0670790001"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC","06/2021","607,777.90969"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC","10/2020","606,371.9322319999"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC","05/2019","606,363.8750809999"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC","08/2020","604,673.814178"
"Papa & Barkley - Releaf Tincture - CBD Rich - 30:1 - 30ml, 30mg THC, 870mg CBD","12/2018","604,384.243087"
"Papa & Barkley - Releaf Tincture - CBD Rich - 30:1 - 30ml, 30mg THC, 870mg CBD","09/2019","603,271.683891"
"Papa & Barkley - Releaf Tincture - CBD Rich - 30:1 - 30ml, 30mg THC, 870mg CBD","10/2019","602,979.7909559999"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD","07/2021","602,943.0139799999"
"Up North Humboldt - Durban Poison - Flower (Gram)","11/2019","602,591.078634"
"Concentrate - Strain Blends - Oil Cartridge","07/2020","602,503.301483"
"THC Design - Crescendo - Flower (Gram)","08/2020","601,921.0335060001"
"Private Label - Vape Pen","06/2019","601,836.1688359999"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC","01/2020","601,421.194904"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC","12/2020","601,151.897816"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC","11/2019","600,864.154111"
"Stiiizy - Pineapple Express - Distillate Cartridge, 1000mg","05/2021","600,079.808137"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack","09/2020","597,301.5367840002"
"Stiiizy - Blue Dream - Distillate Cartridge, Blueberry, 1000mg","12/2020","597,057.929597"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC","02/2021","596,344.358981"
"Papa & Barkley - Releaf Tincture - CBD Rich - 30:1 - 30ml, 30mg THC, 870mg CBD","11/2018","595,380.276629"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC","04/2019","593,909.3975450001"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC","03/2021","593,397.1436129999"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC","10/2020","593,360.273999"
"Concentrate - Strain Blends - Live Resin","12/2020","593,294.2117090003"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC","12/2020","591,150.285287"
"Private Label - Vape Pen","02/2019","590,593.783036"
"Connected Cannabis Co. - Biscotti - Flower (Gram)","04/2020","590,312.122625"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD","04/2020","590,203.7168240001"
"Stiiizy - Blue Dream - Distillate Cartridge, Blueberry, 1000mg","08/2021","588,248.287181"
"Concentrate - Strain Blends - Distillate Cartridge","07/2019","587,678.3436759994"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 50ml, 150mg THC, 450mg CBD","04/2019","587,489.785239"
"Up North Humboldt - Durban Poison - Flower (Gram)","04/2020","586,885.539788"
"Kiva Confections - Terra Bites - Espresso, 20 Count, 100mg THC","12/2018","586,071.416901"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 15ml, 45mg THC, 135mg CBD","04/2019","585,830.7467499999"
"Concentrate - Strain Blends - Oil Cartridge","03/2020","584,164.8209100001"
"Fun Uncle - Shotgun OG - Flower (Gram)","07/2021","583,707.2854480001"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC","05/2020","583,313.937919"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack","10/2020","582,896.081527"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC","12/2018","582,865.548691"
"Concentrate - Strain Blends - Oil Cartridge","09/2020","582,602.5601179993"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC","09/2019","582,499.982486"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 15ml, 45mg THC, 135mg CBD","03/2019","582,393.5518220001"
"Pacific Stone - Private Reserve OG - Flower (Gram)","09/2020","581,353.1480800001"
"Stiiizy - Pineapple Express - Distillate Cartridge, 1000mg","06/2021","580,871.0742939999"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC","11/2020","579,708.780406"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 50ml, 150mg THC, 450mg CBD","06/2019","577,976.886188"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack","04/2019","577,921.1930150003"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC","08/2021","576,817.3894229999"
"Stiiizy - Pineapple Express - Distillate Cartridge, 1000mg","08/2021","576,640.965173"
"Pacific Stone - 805 Glue - Flower (Gram)","09/2021","576,283.112799"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC","11/2020","575,836.3992330001"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD","01/2021","573,976.024584"
"Papa & Barkley - Releaf Tincture - CBD Rich - 30:1 - 30ml, 30mg THC, 870mg CBD","01/2019","572,671.627482"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 50ml, 150mg THC, 450mg CBD","07/2019","571,789.834202"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC","08/2019","571,639.157695"
