"Products","Months","Total Sales ($)"
"Flower - Indica Strain Blends - Flower (Gram)","12/2019","4,373,688.335431001"
"Flower - Indica Strain Blends - Flower (Gram)","02/2020","4,339,765.735038999"
"Flower - Indica Strain Blends - Flower (Gram)","03/2020","4,325,378.625494003"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack","11/2019","4,325,021.516916989"
"Flower - Indica Strain Blends - Flower (Gram)","01/2021","4,311,698.594891999"
"Flower - Sativa Strain Blends - Flower (Gram)","02/2019","4,293,217.966418002"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack","09/2019","4,288,730.980747992"
"Flower - Indica Strain Blends - Flower (Gram)","09/2021","4,278,412.172736002"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack","07/2021","4,264,354.425526993"
"Flower - Sativa Strain Blends - Flower (Gram)","01/2019","4,258,475.752342"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack","08/2021","4,251,460.449673998"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack","10/2019","4,223,547.954181988"
"Flower - Indica Strain Blends - Flower (Gram)","10/2020","4,211,887.039431997"
"Flower - Sativa Strain Blends - Flower (Gram)","10/2018","4,179,295.690056001"
"Flower - Indica Strain Blends - Flower (Gram)","07/2021","4,175,038.8765079966"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack","03/2020","4,157,015.8494859934"
"Flower - Indica Strain Blends - Flower (Gram)","02/2021","4,136,624.23781"
"Flower - Sativa Strain Blends - Flower (Gram)","11/2018","4,135,340.5532670002"
"Flower - Sativa Strain Blends - Flower (Gram)","06/2019","4,133,080.968155002"
"Flower - Indica Strain Blends - Flower (Gram)","06/2019","4,094,079.2290950017"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack","12/2020","4,086,341.1493070014"
"Flower - Indica Strain Blends - Flower (Gram)","01/2020","4,086,201.886505994"
"Flower - Sativa Strain Blends - Flower (Gram)","07/2019","4,074,876.177005996"
"Flower - Sativa Strain Blends - Flower (Gram)","12/2018","3,981,466.5043360023"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack","08/2020","3,942,640.2301800074"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack","01/2020","3,923,121.685642001"
"Flower - Indica Strain Blends - Flower (Gram)","06/2020","3,919,753.8997170036"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack","09/2020","3,911,206.1813540086"
"Flower - Sativa Strain Blends - Flower (Gram)","08/2020","3,909,146.6084660008"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack","04/2021","3,887,030.6770510124"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack","07/2020","3,855,735.4681310076"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack","01/2021","3,838,947.575312997"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack","11/2020","3,820,916.102400005"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack","03/2021","3,786,700.8496589963"
"Flower - Sativa Strain Blends - Flower (Gram)","04/2019","3,771,201.554754004"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack","12/2019","3,734,036.67785501"
"Flower - Sativa Strain Blends - Flower (Gram)","08/2019","3,728,296.8146070023"
"Flower - Sativa Strain Blends - Flower (Gram)","09/2020","3,672,535.8954320033"
"Flower - Sativa Strain Blends - Flower (Gram)","05/2019","3,665,923.058129998"
"Flower - Indica Strain Blends - Flower (Gram)","04/2020","3,662,236.2536849957"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack","10/2020","3,640,944.931114015"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack","05/2020","3,550,770.3240079964"
"Flower - Sativa Strain Blends - Flower (Gram)","03/2020","3,482,224.638242001"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack","06/2020","3,468,486.5943000265"
"Flower - Sativa Strain Blends - Flower (Gram)","07/2020","3,447,777.3607630013"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack","04/2020","3,333,572.6606239974"
"Flower - Sativa Strain Blends - Flower (Gram)","09/2019","3,295,362.331499"
"Pre Rolled - Strain Blends - Pre-Rolled, 1.00g, 1 Pack","02/2021","3,270,052.112329005"
"Flower - Sativa Strain Blends - Flower (Gram)","03/2021","3,161,933.505658"
"Flower - Sativa Strain Blends - Flower (Gram)","05/2020","3,089,040.9057390024"
"Flower - Sativa Strain Blends - Flower (Gram)","04/2020","3,016,545.5577220037"
"Flower - Sativa Strain Blends - Flower (Gram)","07/2021","3,009,470.181508999"
"Flower - Sativa Strain Blends - Flower (Gram)","06/2020","2,992,611.7465220015"
"Flower - Sativa Strain Blends - Flower (Gram)","01/2021","2,992,061.0556180007"
"Flower - Sativa Strain Blends - Flower (Gram)","11/2019","2,945,067.620728"
"Flower - Sativa Strain Blends - Flower (Gram)","06/2021","2,929,672.0497720013"
"Flower - Sativa Strain Blends - Flower (Gram)","09/2021","2,875,399.351739"
"Flower - Sativa Strain Blends - Flower (Gram)","02/2020","2,858,780.9199109985"
"Flower - Sativa Strain Blends - Flower (Gram)","12/2019","2,822,012.7018559985"
"Flower - Sativa Strain Blends - Flower (Gram)","02/2021","2,759,361.3635650026"
"Flower - Sativa Strain Blends - Flower (Gram)","05/2021","2,743,440.1288210014"
"Flower - Sativa Strain Blends - Flower (Gram)","12/2020","2,739,734.702667"
"Flower - Sativa Strain Blends - Flower (Gram)","01/2020","2,731,439.5122940014"
"Flower - Sativa Strain Blends - Flower (Gram)","04/2021","2,717,504.875023"
"Flower - Sativa Strain Blends - Flower (Gram)","10/2020","2,687,738.128387"
"Flower - Sativa Strain Blends - Flower (Gram)","10/2019","2,586,249.717737"
"Flower - Sativa Strain Blends - Flower (Gram)","11/2020","2,511,985.3694390007"
"Flower - Sativa Strain Blends - Flower (Gram)","08/2021","2,382,606.2049219995"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC","04/2021","1,737,521.823114"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC","03/2021","1,670,694.6330920001"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC","09/2020","1,635,238.1246409998"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC","11/2020","1,632,266.4428690001"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC","07/2020","1,611,472.4262450002"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC","10/2020","1,605,771.906024"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC","12/2020","1,568,935.2012470001"
"Wyld - Gummies - 2:1 - Indica - 50mg CBN - Elderberry, 10 Count, 100mg THC","08/2021","1,557,907.0136050002"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC","08/2020","1,544,597.166383"
"Concentrate - Strain Blends - Distillate Cartridge","08/2021","1,540,991.4536719997"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC","03/2021","1,521,126.9842540002"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC","04/2021","1,517,223.1598430001"
"Wyld - Gummies - 2:1 - Indica - 50mg CBN - Elderberry, 10 Count, 100mg THC","07/2021","1,510,388.994289"
"Pacific Stone - Wedding Cake - Flower (Gram)","09/2020","1,503,661.742633"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC","07/2021","1,502,009.2908319999"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC","04/2021","1,501,011.9241159998"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC","01/2021","1,478,009.7994390002"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC","07/2020","1,470,281.6939270003"
"Wyld - Gummies - 2:1 - Indica - 50mg CBN - Elderberry, 10 Count, 100mg THC","09/2021","1,468,360.2401440002"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC","03/2020","1,458,856.56619"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC","05/2021","1,457,099.245222"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC","07/2021","1,456,829.609491"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC","11/2020","1,444,879.621526"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC","07/2021","1,443,032.5019619998"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC","02/2021","1,435,109.3509769998"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC","06/2021","1,428,415.517526"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC","09/2020","1,427,146.959514"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC","05/2021","1,420,504.4568470002"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC","08/2020","1,419,810.969407"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC","10/2020","1,411,113.752847"
"Wyld - Gummies - 2:1 - Indica - 50mg CBN - Elderberry, 10 Count, 100mg THC","05/2021","1,410,685.0982100002"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC","06/2021","1,409,404.789081"
"Wyld - Gummies - 2:1 - Indica - 50mg CBN - Elderberry, 10 Count, 100mg THC","04/2021","1,397,623.5102940002"
"Wyld - Gummies - 2:1 - Indica - 50mg CBN - Elderberry, 10 Count, 100mg THC","06/2021","1,395,918.423615"
"Concentrate - Strain Blends - Distillate Cartridge","09/2021","1,388,968.452151"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC","09/2020","1,386,891.63268"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC","01/2021","1,385,477.453095"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC","05/2021","1,384,253.2860070001"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC","03/2020","1,383,634.763447"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC","06/2020","1,377,410.287006"
"Pacific Stone - Wedding Cake - Flower (Gram)","07/2021","1,364,896.7235660001"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC","12/2020","1,363,077.91794"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC","08/2021","1,358,755.392716"
"Wyld - Gummies - 2:1 - Indica - 50mg CBN - Elderberry, 10 Count, 100mg THC","03/2021","1,353,567.2220680001"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC","09/2021","1,350,420.7926269998"
"Pacific Stone - Wedding Cake - Flower (Gram)","08/2021","1,348,395.688765"
"Pacific Stone - Wedding Cake - Flower (Gram)","07/2020","1,343,507.956774"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC","08/2021","1,334,674.513794"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC","08/2021","1,310,790.401315"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC","02/2021","1,305,351.255152"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC","02/2021","1,300,615.357993"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC","03/2021","1,293,429.2557589998"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC","09/2021","1,285,740.638242"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC","09/2021","1,284,566.4728919999"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack","09/2021","1,281,131.3599160009"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC","05/2020","1,278,278.6789169998"
"Pacific Stone - Wedding Cake - Flower (Gram)","03/2021","1,264,818.25006"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC","06/2020","1,262,137.839138"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC","02/2020","1,259,246.893831"
"Pacific Stone - Wedding Cake - Flower (Gram)","11/2020","1,258,928.716659"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC","01/2020","1,251,318.360804"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC","05/2020","1,248,728.1401779999"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC","04/2020","1,244,181.6578329997"
"Concentrate - Strain Blends - Distillate Cartridge","07/2021","1,241,888.6955030002"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC","12/2020","1,236,707.9471419998"
"Pacific Stone - Wedding Cake - Flower (Gram)","04/2021","1,235,259.296804"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC","06/2021","1,233,638.555774"
"Pacific Stone - Wedding Cake - Flower (Gram)","12/2020","1,221,771.3006449998"
"Pacific Stone - 805 Glue - Flower (Gram)","08/2020","1,220,702.2786929999"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC","01/2020","1,219,948.1431359998"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC","01/2021","1,218,580.731017"
"Pacific Stone - Wedding Cake - Flower (Gram)","06/2021","1,208,537.951933"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC","02/2020","1,202,904.988861"
"Pacific Stone - Wedding Cake - Flower (Gram)","05/2021","1,191,075.545743"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD","03/2021","1,185,376.754445"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC","08/2020","1,178,981.6704139998"
"Connected Cannabis Co. - Biscotti - Flower (Gram)","08/2020","1,172,280.710229"
"Pacific Stone - Wedding Cake - Flower (Gram)","01/2021","1,169,166.480255"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC","10/2020","1,149,126.366123"
"Pacific Stone - Wedding Cake - Flower (Gram)","02/2021","1,144,895.5595510001"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC","04/2020","1,139,010.2285040002"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC","07/2020","1,134,987.539613"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC","03/2021","1,130,977.1997250002"
"Pacific Stone - 805 Glue - Flower (Gram)","01/2021","1,125,581.960392"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack","08/2021","1,120,243.3781149997"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD","12/2020","1,111,723.2383870003"
"Wyld - Gummies - 2:1 - Indica - 50mg CBN - Elderberry, 10 Count, 100mg THC","02/2021","1,107,850.177215"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD","04/2021","1,106,948.949492"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC","07/2020","1,106,878.63785"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC","09/2020","1,100,876.24089"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC","11/2020","1,100,362.690409"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC","08/2019","1,096,425.398515"
