Brands,Months,Total Units,vs. Prior Period
22 Red,07/2019,"2,365.9118020000000",-0.4876458236108190
22 Red,08/2019,"1,247.2710410000000",-0.47281591818189000
22 Red,09/2019,"1,079.652036",-0.13438859677653700
22 Red,10/2019,"3,673.3496140000000",2.402345840618600
22 Red,11/2019,"1,834.94808",-0.5004700687877410
22 Red,12/2019,"6,489.4510200000000",2.5365856346191500
22 Red,01/2020,"1,045.835178",-0.8388407317079960
22 Red,02/2020,"3,682.3374450000000",2.520953896427450
22 Red,03/2020,"2,742.846042",-0.25513452176298300
22 Red,04/2020,"3,065.927407",0.11779055771005600
22 Red,05/2020,"6,012.012071000000",0.9609114218665530
22 Red,06/2020,"7,508.8570200000000",0.2489757058573270
22 Red,07/2020,"4,472.295486",-0.40439730386556200
22 Red,08/2020,"5,331.760696000000",0.1921754080629180
22 Red,09/2020,"8,429.832959000000",0.5810598861506000
22 Red,10/2020,"7,526.312213000000",-0.10718133448129300
22 Red,11/2020,"6,275.5912070000000",-0.16617979305185600
22 Red,12/2020,"4,330.168935",-0.30999824683131200
22 Red,01/2021,"3,521.852607",-0.18667085283128800
22 Red,02/2021,"8,719.852553",1.4759277363477700
22 Red,03/2021,"3,658.017812",-0.5804954510679790
22 Red,04/2021,"4,598.236814",0.2570296401826270
22 Red,05/2021,706.60231,-0.8463319009911260
22 Red,06/2021,"1,734.8035490000000",1.4551342734783900
22 Red,07/2021,"4,030.561914",1.3233535095794300
22 Red,08/2021,984.161699,-0.7558251876539710
22 Red,09/2021,,-1
2Fly,01/2021,24.532554000000000,
2Fly,02/2021,34.586577000000000,0.4098237386943080
2Fly,03/2021,56.233940000000000,0.6258891419061210
2Fly,04/2021,119.961197,1.1332525695336300
2Fly,05/2021,167.54056000000000,0.39662294300047700
2Fly,06/2021,37.676718,-0.7751188249579680
2Fly,07/2021,,-1
3 Bros Grow,08/2018,"23,691.31416900000",
3 Bros Grow,09/2018,"10,018.989140000000",-0.5771028542979760
3 Bros Grow,10/2018,"11,214.910342000000",0.11936545546550000
3 Bros Grow,11/2018,"10,439.708895000000",-0.06912239361351460
3 Bros Grow,12/2018,"24,908.365990000000",1.3859253395398400
3 Bros Grow,01/2019,"20,666.853248",-0.17028466434541900
3 Bros Grow,02/2019,"54,397.406606000000",1.6321088146916700
3 Bros Grow,03/2019,"25,289.23822900000",-0.5351021343320690
3 Bros Grow,04/2019,"45,758.59371",0.8094097297690490
3 Bros Grow,05/2019,"22,375.374776",-0.5110126216332970
3 Bros Grow,06/2019,"10,138.122486",-0.5469071428973680
3 Bros Grow,07/2019,"9,047.681531000000",-0.10755847115733900
3 Bros Grow,08/2019,"9,049.551241",0.00020665073075251800
3 Bros Grow,09/2019,"37,202.68341700000",3.1109975982509600
3 Bros Grow,10/2019,"26,769.936733000000",-0.2804299509006040
3 Bros Grow,11/2019,"10,463.572980000000",-0.6091297082857400
3 Bros Grow,12/2019,"33,470.49812600000",2.198763767402900
3 Bros Grow,01/2020,"24,020.626967000000",-0.2823343448139280
3 Bros Grow,02/2020,"15,279.093831000000",-0.36391777566877400
3 Bros Grow,03/2020,"9,886.948888",-0.3529099960142780
3 Bros Grow,04/2020,"12,702.573524000000",0.2847819552721040
3 Bros Grow,05/2020,"18,189.435752000000",0.4319488659233690
3 Bros Grow,06/2020,"13,677.707625000000",-0.24804112609726900
3 Bros Grow,07/2020,"2,636.1337420000000",-0.8072678686900940
3 Bros Grow,08/2020,"3,821.8109160000000",0.4497788390282670
3 Bros Grow,09/2020,"26,713.549147000000",5.989762113861730
3 Bros Grow,10/2020,"1,789.963356",-0.9329941766198810
3 Bros Grow,11/2020,67.75159600000000,-0.9621491715051620
3 Bros Grow,12/2020,267.65193500000000,2.9504890039785900
3 Bros Grow,01/2021,"2,862.1313",9.693482563464370
3 Bros Grow,02/2021,,-1
3 Leaf,08/2018,"3,357.0078080000000",
3 Leaf,09/2018,"1,101.053215",-0.6720135078696850
3 Leaf,10/2018,"4,081.9498160000000",2.707313834054790
3 Leaf,11/2018,"6,809.559840000000",0.6682125324786210
3 Leaf,12/2018,"6,833.258003000000",0.003480131397156770
3 Leaf,01/2019,"1,669.3865440000000",-0.7556968369601900
3 Leaf,02/2019,"2,022.3827550000000",0.21145265143577300
3 Leaf,03/2019,"2,755.172420000000",0.36233975155706800
3 Leaf,04/2019,"3,000.0109320000000",0.08886504170218170
3 Leaf,05/2019,"2,474.0598330000000",-0.17531639414706000
3 Leaf,06/2019,"2,571.2032320000000",0.03926477351285630
3 Leaf,07/2019,"3,879.294294000000",0.5087466621541660
3 Leaf,08/2019,"3,013.5407400000000",-0.22317295064183200
3 Leaf,09/2019,"2,685.1449600000000",-0.10897339984194200
3 Leaf,10/2019,"2,393.5674390000000",-0.10858911728922100
3 Leaf,11/2019,"2,475.7236000000000",0.0343237293678776
3 Leaf,12/2019,"2,002.7369440000000",-0.19104986356312200
3 Leaf,01/2020,"1,165.770387",-0.41791137848006900
3 Leaf,02/2020,289.089553,-0.7520184452926920
3 Leaf,03/2020,467.0264000000000,0.6155077039397550
3 Leaf,04/2020,764.9519500000000,0.637920147554828
3 Leaf,05/2020,,-1
350 Fire,08/2018,"81,832.33889600000",
350 Fire,09/2018,"64,128.91028600000",-0.21633780543043200
350 Fire,10/2018,"43,249.506692000000",-0.325584880530212
350 Fire,11/2018,"68,421.82995000000",0.5820256734316960
350 Fire,12/2018,"23,710.62506300000",-0.6534640321615660
350 Fire,01/2019,"6,059.720985",-0.7444301460252910
350 Fire,02/2019,"1,928.5911010000000",-0.6817359898625760
350 Fire,03/2019,"1,781.7540710000000",-0.07613694262296630
350 Fire,04/2019,106.741962,-0.9400916413003670
350 Fire,05/2019,667.603447,5.254367396769420
350 Fire,06/2019,362.60558400000000,-0.45685483556228600
350 Fire,07/2019,,-1
350 Fire,10/2019,139.223162,
350 Fire,11/2019,228.15492,0.6387712843355760
350 Fire,12/2019,111.80327600000000,-0.5099677184257080
350 Fire,01/2020,,-1
3C Farms,11/2018,"82,843.35952500000",
3C Farms,12/2018,"63,633.337878",-0.23188366282034800
3C Farms,01/2019,"76,398.43337300000",0.20060389601868200
3C Farms,02/2019,,-1
3C Farms,06/2019,192.29084,
3C Farms,07/2019,"4,225.455556",20.974294542579400
3C Farms,08/2019,"9,590.314466",1.2696521922664900
3C Farms,09/2019,"7,146.401430000000",-0.2548313764542620
3C Farms,10/2019,"8,988.461619000000",0.25776052563562800
3C Farms,11/2019,"10,258.233552000000",0.1412668804543740
3C Farms,12/2019,"4,982.051188",-0.5143363462388050
3C Farms,01/2020,"1,779.838758",-0.6427498050828940
3C Farms,02/2020,"8,375.066600000000",3.705519846871430
3C Farms,03/2020,"21,346.37562600000",1.5488007015968100
3C Farms,04/2020,"14,253.021817000000",-0.33229780705068500
3C Farms,05/2020,"27,529.86036000000",0.9315104343111510
3C Farms,06/2020,"26,357.620560000000",-0.04258066639899140
3C Farms,07/2020,"34,926.79139000000",0.3251117000676620
3C Farms,08/2020,"55,107.77265000000",0.5778080509788290
3C Farms,09/2020,"23,739.029369000000",-0.5692253882266100
3C Farms,10/2020,"27,861.848263",0.17367259755716200
3C Farms,11/2020,"17,873.26950600000",-0.3585038100384980
3C Farms,12/2020,"12,031.154357000000",-0.3268632606383970
3C Farms,01/2021,"11,778.079320000000",-0.021034975488677600
3C Farms,02/2021,"8,730.708931000000",-0.2587323710603100
3C Farms,03/2021,"19,667.82051400000",1.2527174676692900
3C Farms,04/2021,"8,501.526013",-0.5677443768134640
3C Farms,05/2021,"7,214.5059170000000",-0.1513869502995080
3C Farms,06/2021,"8,882.704914000000",0.23122844671443400
3C Farms,07/2021,"4,417.741483",-0.5026580837963880
3C Farms,08/2021,"2,841.7471140000000",-0.3567420988902620
3C Farms,09/2021,"11,988.174787000000",3.2185931070149400
420 Kingdom,08/2021,"1,223.75163",
420 Kingdom,09/2021,"4,692.630309000000",2.834626401273920
454,12/2018,"6,983.347881",
454,01/2019,"11,738.971668000000",0.6809948277013240
454,02/2019,"1,697.7756750000000",-0.8553727086991720
454,03/2019,,-1
454,05/2019,"7,363.27335",
454,06/2019,"5,884.099704",-0.20088533668249600
454,07/2019,"3,699.0616050000000",-0.3713462056930500
454,08/2019,"19,122.032132",4.169427864124470
454,09/2019,"27,863.973012000000",0.4571658921841620
454,10/2019,"8,174.006039",-0.7066460681870550
454,11/2019,,-1
454,02/2021,"15,010.574460000000",
454,03/2021,"41,219.47802000000",1.7460293494989900
454,04/2021,"39,018.413648",-0.053398647380542100
454,05/2021,"39,918.632676000000",0.02307164602131730
454,06/2021,"18,936.318467000000",-0.5256270769418180
454,07/2021,"31,448.960326000000",0.660774790031419
454,08/2021,"15,201.059121000000",-0.5166435086112300
454,09/2021,"22,333.329736000000",0.46919563684525700
4Geez,04/2021,112.20508900000000,
4Geez,05/2021,199.73976100000000,0.7801310330942300
4Geez,06/2021,,-1
4Geez,07/2021,81.937132,
4Geez,08/2021,,-1
530,08/2020,"164,663.187285",
530,09/2020,,-1
5Carats,03/2021,465.335862,
5Carats,04/2021,832.6961700000000,0.789451959324811
5Carats,05/2021,639.1672380000000,-0.23241242000668800
5Carats,06/2021,401.67567900000000,-0.371564036578483
5Carats,07/2021,138.973881,-0.6540146982610810
5Carats,08/2021,46.5489,-0.6650528886071770
5Carats,09/2021,86.188171,0.8515619273495180
710 Labs,08/2018,"52,404.88077800000",
710 Labs,09/2018,"56,756.91266099990",0.08304630825201540
710 Labs,10/2018,"58,096.94589400020",0.023610044489279800
710 Labs,11/2018,"54,358.55648999980",-0.06434743421489350
710 Labs,12/2018,"45,387.59199",-0.16503316274872300
710 Labs,01/2019,"54,483.93018799990",0.20041464636423200
710 Labs,02/2019,"49,737.426406000100",-0.08711749988706240
710 Labs,03/2019,"47,409.458746000200",-0.04680514912446530
710 Labs,04/2019,"32,020.90322799980",-0.3245882978847260
710 Labs,05/2019,"38,855.642701000100",0.2134461799635860
710 Labs,06/2019,"33,262.469460999900",-0.1439475157582770
710 Labs,07/2019,"28,350.889732000000",-0.14766130743114700
710 Labs,08/2019,"33,176.29328800000",0.17020289668558300
710 Labs,09/2019,"26,730.618051000100",-0.1942855755778890
710 Labs,10/2019,"35,506.72559200010",0.3283166713263350
710 Labs,11/2019,"35,452.36195199990",-0.0015310800726831900
710 Labs,12/2019,"31,862.839853999900",-0.1012491664972830
710 Labs,01/2020,"38,313.30759400010",0.20244484702421700
710 Labs,02/2020,"33,935.559307999900",-0.11426182078536300
710 Labs,03/2020,"43,141.79699400020",0.2712858686796400
710 Labs,04/2020,"42,082.41068700030",-0.02455591516383140
710 Labs,05/2020,"68,718.18553699910",0.6329431801830450
710 Labs,06/2020,"44,152.307466000100",-0.35748729217788100
710 Labs,07/2020,"46,201.87408799990",0.04642037391993730
710 Labs,08/2020,"57,377.66055699990",0.2418903278190340
710 Labs,09/2020,"35,277.03447800010",-0.3851782359973470
710 Labs,10/2020,"49,552.555502000000",0.4046689648162600
710 Labs,11/2020,"46,555.7083369999",-0.06047815565998640
710 Labs,12/2020,"57,019.10018900000",0.2247499227432960
710 Labs,01/2021,"62,726.57181400010",0.10009753935228100
710 Labs,02/2021,"42,566.75715099990",-0.3213919409270310
710 Labs,03/2021,"48,178.22733699980",0.13182752367285000
710 Labs,04/2021,"49,371.87538499990",0.024775673867176200
710 Labs,05/2021,"44,312.80283200010",-0.10246871348413300
710 Labs,06/2021,"29,905.0575870001",-0.3251373039891660
710 Labs,07/2021,"36,339.64883799980",0.2151673252017690
710 Labs,08/2021,"24,041.0317549999",-0.33843522092980200
710 Labs,09/2021,"25,238.56532900000",0.049812070721593000
818 Genetics,03/2020,"11,248.330844",
818 Genetics,04/2020,"16,542.632313000000",0.47067440871229800
818 Genetics,05/2020,"7,852.806168000000",-0.5252988750871960
818 Genetics,06/2020,"3,531.8832750000000",-0.5502393412698330
818 Genetics,07/2020,"6,040.222918",0.710198907408683
818 Genetics,08/2020,"4,365.625908",-0.2772409284779310
818 Genetics,09/2020,"2,362.760008",-0.45878092676923000
818 Genetics,10/2020,,-1
818 Genetics,11/2020,"2,385.2547180000000",
818 Genetics,12/2020,"1,062.618139",-0.5545053821794810
818 Genetics,01/2021,,-1
818 Genetics,03/2021,"1,940.07093",
818 Genetics,04/2021,"1,404.3733330000000",-0.2761226864009560
818 Genetics,05/2021,,-1
818 Genetics,06/2021,"2,930.4114000000000",
818 Genetics,07/2021,"2,264.444322",-0.22726060852752600
818 Genetics,08/2021,825.663744,-0.6353790923546500
818 Genetics,09/2021,"2,383.8385330000000",1.8871784068551800
A Golden State,07/2019,"1,521.9650250000000",
A Golden State,08/2019,,-1
A Golden State,09/2019,"5,854.175418000000",
A Golden State,10/2019,"5,153.934406000000",-0.11961394423661300
A Golden State,11/2019,"8,113.455945",0.5742256897089440
A Golden State,12/2019,"21,926.20229",1.7024491706906000
A Golden State,01/2020,"26,602.952412",0.21329503669374400
A Golden State,02/2020,"36,429.430807000000",0.3693754829470540
A Golden State,03/2020,"40,008.16681200000",0.09823749440280420
A Golden State,04/2020,"46,834.948086000000",0.17063469331347600
A Golden State,05/2020,"59,771.96191700000",0.2762256468661950
A Golden State,06/2020,"41,721.74328500000",-0.3019847107756770
A Golden State,07/2020,"61,041.458810000000",0.4630610804785320
A Golden State,08/2020,"58,441.87657500000",-0.04258715773965360
A Golden State,09/2020,"42,624.232475",-0.27065599236364
A Golden State,10/2020,"45,533.201107",0.06824682728788550
A Golden State,11/2020,"38,757.906080000000",-0.1487990051716000
A Golden State,12/2020,"37,516.81205300000",-0.032021699635636300
A Golden State,01/2021,"32,610.511069000000",-0.13077606319718400
A Golden State,02/2021,"34,266.17114000000",0.0507707489617935
A Golden State,03/2021,"40,826.844611000000",0.19146211125238600
A Golden State,04/2021,"55,076.791984000000",0.34903376709060400
A Golden State,05/2021,"37,023.217652",-0.327789140973291
A Golden State,06/2021,"39,206.49745600000",0.05897055800286640
A Golden State,07/2021,"47,577.37988900000",0.21350753003106900
A Golden State,08/2021,"49,743.28097000000",0.04552375700497090
A Golden State,09/2021,"57,018.01239600000",0.14624550862230800
A to B Gardens,01/2019,983.3693620000000,
A to B Gardens,02/2019,,-1
A&A Craft Inc,09/2018,815.374543,
A&A Craft Inc,10/2018,876.777272,0.07530616393060490
A&A Craft Inc,11/2018,,-1
A&A Craft Inc,08/2021,147.43995,
A&A Craft Inc,09/2021,121.92472800000000,-0.1730550098531640
AA Packaging,08/2018,"1,139.0924160000000",
AA Packaging,09/2018,940.358962,-0.17446648859086100
AA Packaging,10/2018,"1,184.5202880000000",0.2596469389526590
AA Packaging,11/2018,,-1
AA Packaging,01/2019,"1,873.0844800000000",
AA Packaging,02/2019,"1,084.4661150000000",-0.42102658658513900
AA Packaging,03/2019,,-1
AA Packaging,07/2020,110.02227500000000,
AA Packaging,08/2020,99.267816,-0.09774801511784780
AA Packaging,09/2020,,-1
AA Packaging,03/2021,542.2558500000000,
AA Packaging,04/2021,674.2646590000000,0.24344377105383100
AA Packaging,05/2021,221.99124200000000,-0.6707654197251940
AA Packaging,06/2021,171.63838200000000,-0.22682363297917800
AA Packaging,07/2021,314.979094,0.835132039405964
AA Packaging,08/2021,320.15532,0.01643355415835960
AA Packaging,09/2021,270.084292,-0.15639605176637400
Above,03/2020,126.09712800000000,
Above,04/2020,,-1
Above,05/2020,240.80155200000000,
Above,06/2020,977.1328500000000,3.0578345192725300
Above,07/2020,118.82405700000000,-0.8783951875121180
Above,08/2020,172.63968,0.45290174699219400
Above,09/2020,419.30080000000000,1.4287626112374600
Above,10/2020,,-1
Above Top Shelf,09/2021,"1,849.892411000000",
Absolute Xtracts,08/2018,"181,852.9097660000",
Absolute Xtracts,09/2018,"205,335.11639100000",0.12912747261078100
Absolute Xtracts,10/2018,"187,633.23925800000",-0.08620969196175990
Absolute Xtracts,11/2018,"215,831.80053000000",0.15028553247554500
Absolute Xtracts,12/2018,"219,252.10785700000",0.015847096297214700
Absolute Xtracts,01/2019,"199,100.68513800000",-0.0919098243385771
Absolute Xtracts,02/2019,"206,182.21472100000",0.035567580182314700
Absolute Xtracts,03/2019,"236,401.19400900000",0.1465644324797440
Absolute Xtracts,04/2019,"205,708.8959180000",-0.12983140047013100
Absolute Xtracts,05/2019,"235,532.17944800000",0.14497809342133700
Absolute Xtracts,06/2019,"246,595.42118399900",0.046971253617774800
Absolute Xtracts,07/2019,"268,103.8651539990",0.08722158694889570
Absolute Xtracts,08/2019,"271,906.75888400000",0.014184404718732300
Absolute Xtracts,09/2019,"229,092.65174200000",-0.15745878225949100
Absolute Xtracts,10/2019,"205,489.0514780000",-0.10303080471817900
Absolute Xtracts,11/2019,"207,965.8794780000",0.012053333168772700
Absolute Xtracts,12/2019,"209,625.3095830000",0.00797933828936555
Absolute Xtracts,01/2020,"205,622.22739400000",-0.01909636864443200
Absolute Xtracts,02/2020,"197,122.8199170000",-0.04133506180104610
Absolute Xtracts,03/2020,"219,024.8736790000",0.11110866702912500
Absolute Xtracts,04/2020,"202,517.5326640000",-0.07536742625494260
Absolute Xtracts,05/2020,"217,349.04194600000",0.07323568032307860
Absolute Xtracts,06/2020,"213,734.68227400000",-0.016629287341866400
Absolute Xtracts,07/2020,"230,130.95284200000",0.07671319597528020
Absolute Xtracts,08/2020,"210,054.36676300000",-0.08723983380359810
Absolute Xtracts,09/2020,"186,256.56060000000",-0.11329355599567500
Absolute Xtracts,10/2020,"169,453.09028400000",-0.0902167969915807
Absolute Xtracts,11/2020,"161,522.7936680000",-0.04679936260063790
Absolute Xtracts,12/2020,"175,818.35998100000",0.088504947124574
Absolute Xtracts,01/2021,"178,011.68711100000",0.01247496069373390
Absolute Xtracts,02/2021,"142,563.27713700000",-0.19913529582974000
Absolute Xtracts,03/2021,"170,544.0844970010",0.19626938943829000
Absolute Xtracts,04/2021,"187,796.64809500000",0.10116189986233700
Absolute Xtracts,05/2021,"168,209.98895000000",-0.10429717113529900
Absolute Xtracts,06/2021,"164,025.27767900000",-0.024877899922128600
Absolute Xtracts,07/2021,"162,868.77445100000",-0.0070507622018045
Absolute Xtracts,08/2021,"147,783.90776500000",-0.09261975929301500
Absolute Xtracts,09/2021,"132,943.81831900000",-0.10041749247555600
Abundant Organics,05/2021,652.361053,
Abundant Organics,06/2021,646.8883150000000,-0.008389124358103040
Abundant Organics,07/2021,318.06504100000000,-0.5083153712553920
Abundant Organics,08/2021,210.10194100000000,-0.3394371781965190
Abundant Organics,09/2021,71.809458,-0.6582161132914050
Ace High,12/2020,"12,583.635750000000",
Ace High,01/2021,"9,181.717210000000",-0.2703446450283660
Ace High,02/2021,"12,051.500608",0.31255410424473400
Ace High,03/2021,"13,777.315300000000",0.14320330290274200
Ace High,04/2021,"22,296.236270000000",0.618329535508271
Ace High,05/2021,"14,894.355784000000",-0.33197892219860300
Ace High,06/2021,"13,772.93358",-0.07529175617012390
Ace High,07/2021,"20,320.408266",0.47538708060770300
Ace High,08/2021,"16,911.362465000000",-0.16776463131914500
Ace High,09/2021,"14,126.450568000000",-0.16467696808957200
Aces Extracts,08/2018,"8,455.802432000020",
Aces Extracts,09/2018,"4,838.682506999990",-0.42776779070800500
Aces Extracts,10/2018,"8,483.255592000020",0.7532160003735550
Aces Extracts,11/2018,"7,877.444400000000",-0.07141258275553060
Aces Extracts,12/2018,"7,355.594545000000",-0.06624608546903880
Aces Extracts,01/2019,"4,785.145513000010",-0.34945496469041600
Aces Extracts,02/2019,"3,789.7694650000000",-0.20801374697923500
Aces Extracts,03/2019,"4,895.554339000000",0.2917815672463330
Aces Extracts,04/2019,"5,654.5149870000000",0.1550305839634560
Aces Extracts,05/2019,"4,774.206163000000",-0.15568246366379300
Aces Extracts,06/2019,"3,554.633528000000",-0.2554503499349610
Aces Extracts,07/2019,"4,359.914826000010",0.2265441125384000
Aces Extracts,08/2019,"2,807.057393000000",-0.35616691953238700
Aces Extracts,09/2019,"2,707.5211680000000",-0.035459276767271800
Aces Extracts,10/2019,"2,206.151644",-0.18517658510878900
Aces Extracts,11/2019,"1,999.9963200000000",-0.09344567249521300
Aces Extracts,12/2019,"2,168.011352000000",0.08400767057411330
Aces Extracts,01/2020,"2,369.9200460000000",0.09313082877252510
Aces Extracts,02/2020,"1,990.4526600000000",-0.16011822282379300
Aces Extracts,03/2020,"1,260.9712800000000",-0.3664901932407680
Aces Extracts,04/2020,620.703879,-0.5077573225934220
Aces Extracts,05/2020,362.31715,-0.4162801905093300
Aces Extracts,06/2020,61.339839,-0.8307012544120530
Aces Extracts,07/2020,,-1
Acme Elixirs,01/2019,122.92116900000000,
Acme Elixirs,02/2019,"2,186.518167",16.787970817296700
Acme Elixirs,03/2019,"2,476.239675000000",0.1325035905818750
Acme Elixirs,04/2019,"3,174.168870000000",0.2818504210421390
Acme Elixirs,05/2019,"2,939.699212",-0.07386804785846170
Acme Elixirs,06/2019,"1,214.1793040000000",-0.5869715857174570
Acme Elixirs,07/2019,"1,951.090493000000",0.6069212237206780
Acme Elixirs,08/2019,"2,327.1231270000000",0.19272946864797100
Acme Elixirs,09/2019,"2,276.7791640000000",-0.021633562236520700
Acme Elixirs,10/2019,"3,196.777989000000",0.4040790778248710
Acme Elixirs,11/2019,"5,485.426800000000",0.7159236014747230
Acme Elixirs,12/2019,"11,416.572783000000",1.0812551510121300
Acme Elixirs,01/2020,"9,273.391596999990",-0.1877254432425950
