Brands,Months,ARP,vs. Prior Period
710 Labs,08/2021,45.80564126308650,0.12953604884877700
710 Labs,09/2021,42.52852719447850,-0.07154389673939510
818 Genetics,03/2020,10.648369611646900,
818 Genetics,04/2020,10.047884341984500,-0.05639222637478390
818 Genetics,05/2020,11.76353784312580,0.17074773581663900
818 Genetics,06/2020,13.644515253692800,0.1598989551996160
818 Genetics,07/2020,13.856730272251800,0.015553137257962000
818 Genetics,08/2020,13.916742714410300,0.004330923744590970
818 Genetics,09/2020,14.912594929531200,0.07155785197420780
818 Genetics,10/2020,,-1
818 Genetics,11/2020,14.554184941769400,
818 Genetics,12/2020,15.717217494251700,0.07991052450793750
818 Genetics,01/2021,,-1
818 Genetics,03/2021,13.64515469493690,
818 Genetics,04/2021,13.573047803664000,-0.005284431938288130
818 Genetics,05/2021,,-1
818 Genetics,06/2021,13.394713652151400,
818 Genetics,07/2021,13.057142143767000,-0.025201845828946500
818 Genetics,08/2021,13.217652072415600,0.012292883609698000
818 Genetics,09/2021,12.561075059608500,-0.04967425449012340
A Golden State,07/2019,20.192931792240100,
A Golden State,08/2019,,-1
A Golden State,09/2019,20.212020537885400,
A Golden State,10/2019,19.20373970258090,-0.049885207340581500
A Golden State,11/2019,18.42853594948560,-0.04036733287897910
A Golden State,12/2019,18.191844377533600,-0.012843753437647500
A Golden State,01/2020,17.152195464597100,-0.05714917582630380
A Golden State,02/2020,16.467196745707300,-0.03993650377315860
A Golden State,03/2020,17.300674379821700,0.050614421324117100
A Golden State,04/2020,15.704596234149900,-0.09225525610339
A Golden State,05/2020,15.673897937613800,-0.001954733256322570
A Golden State,06/2020,16.1818377993023,0.032406735306698100
A Golden State,07/2020,17.884585061229800,0.10522582682177900
A Golden State,08/2020,17.816203083191300,-0.003823514932238720
A Golden State,09/2020,18.730897183597900,0.05134057442741990
A Golden State,10/2020,18.612125304555300,-0.006340960493157750
A Golden State,11/2020,18.84765627397900,0.01265470576678430
A Golden State,12/2020,18.206292800146900,-0.034028818464686700
A Golden State,01/2021,18.13804529038120,-0.0037485670759494300
A Golden State,02/2021,18.486407144933200,0.019206140958129400
A Golden State,03/2021,17.899166883524200,-0.031766056909005300
A Golden State,04/2021,15.592306262635600,-0.1288808935019240
A Golden State,05/2021,18.237715866911500,0.16966121365992300
A Golden State,06/2021,18.493298551412400,0.014013963501020200
A Golden State,07/2021,17.757864734967000,-0.03976758469566110
A Golden State,08/2021,16.78643914651700,-0.05470396373372480
A Golden State,09/2021,16.12133444066680,-0.03962154808681880
A to B Gardens,01/2019,13.322439720264500,
A to B Gardens,02/2019,,-1
A&A Craft Inc,09/2018,6.247810142878110,
A&A Craft Inc,10/2018,7.082450267939880,0.13358922662097600
A&A Craft Inc,11/2018,,-1
A&A Craft Inc,08/2021,9.05485709944964,
A&A Craft Inc,09/2021,12.451033805053900,0.3750668473620270
AA Packaging,09/2018,2.4813290267764800,
AA Packaging,10/2018,2.3649507478929700,-0.04690159089247990
AA Packaging,11/2018,,-1
AA Packaging,01/2019,3.6594248888336300,
AA Packaging,02/2019,3.6312052875898300,-0.007711485301942520
AA Packaging,03/2019,,-1
AA Packaging,07/2020,5.045451995970820,
AA Packaging,08/2020,7.393069562445100,0.4652938068480360
AA Packaging,09/2020,,-1
AA Packaging,03/2021,20.871138478266300,
AA Packaging,04/2021,17.4571085491224,-0.16357660281440900
AA Packaging,05/2021,21.653862259124600,0.24040371280232400
AA Packaging,06/2021,10.02590974086440,-0.5369920792472210
AA Packaging,07/2021,6.4495013691289600,-0.35671659372300200
AA Packaging,08/2021,8.445789503044960,0.3095259648244100
AA Packaging,09/2021,8.911441088177020,0.055134168920996500
Above,03/2020,9.478888813391530,
Above,04/2020,,-1
Above,05/2020,8.122212945703940,
Above,06/2020,8.36116162403096,0.02941915952270230
Above,07/2020,8.882081487926310,0.0623023315801193
Above,08/2020,8.118422502868400,-0.08597748017691210
Above,09/2020,8.574334909449250,0.05615775803978740
Above,10/2020,,-1
Above Top Shelf,09/2021,18.511135558683000,
Absolute Xtracts,09/2018,27.989501572775800,
Absolute Xtracts,10/2018,31.109615296257400,0.11147442963101600
Absolute Xtracts,11/2018,29.082262680992400,-0.06516803875453010
Absolute Xtracts,12/2018,28.237740617481300,-0.029039076937538800
Absolute Xtracts,01/2019,29.19154630750040,0.03377769145696620
Absolute Xtracts,02/2019,29.00376366634270,-0.006432774721136380
Absolute Xtracts,03/2019,27.5034555250955,-0.051728050142271700
Absolute Xtracts,04/2019,27.98319808565610,0.01744299221320780
Absolute Xtracts,05/2019,28.853004789901100,0.031083177183057300
Absolute Xtracts,06/2019,27.908567285383000,-0.032732726154355100
Absolute Xtracts,07/2019,28.460954783565100,0.0197927572753411
Absolute Xtracts,08/2019,27.90819113201360,-0.01942182389013510
Absolute Xtracts,09/2019,27.26098790669790,-0.02319043976208410
Absolute Xtracts,10/2019,27.79079407077990,0.019434591508395300
Absolute Xtracts,11/2019,27.53268787111650,-0.00928747120380958
Absolute Xtracts,12/2019,28.21808030597040,0.02489377128968650
Absolute Xtracts,01/2020,28.841520822986900,0.022093654502946700
Absolute Xtracts,02/2020,29.165606719068500,0.011236782486980500
Absolute Xtracts,03/2020,29.916148013960600,0.025733779589141200
Absolute Xtracts,04/2020,29.519777827338200,-0.013249372427138900
Absolute Xtracts,05/2020,29.07012921425160,-0.015232113727840700
Absolute Xtracts,06/2020,29.861713255230500,0.02723015213124110
Absolute Xtracts,07/2020,29.828453426405800,-0.0011137950639475700
Absolute Xtracts,08/2020,29.969578680346000,0.004731229337396910
Absolute Xtracts,09/2020,30.381368333551200,0.013740254996484200
Absolute Xtracts,10/2020,31.240732077666100,0.02828588017103430
Absolute Xtracts,11/2020,31.046678337990500,-0.006211561854350120
Absolute Xtracts,12/2020,29.942896839959800,-0.035552321765772600
Absolute Xtracts,01/2021,29.53559761676520,-0.013602532359228600
Absolute Xtracts,02/2021,29.34163821606180,-0.00656697058309342
Absolute Xtracts,03/2021,28.82466443322150,-0.017619117890878500
Absolute Xtracts,04/2021,28.00058535621440,-0.02858937278927620
Absolute Xtracts,05/2021,29.222697598964400,0.04364595336857130
Absolute Xtracts,06/2021,29.310883541351500,0.0030177208003632700
Absolute Xtracts,07/2021,28.27756486078670,-0.03525375409127400
Absolute Xtracts,08/2021,28.103245858441300,-0.006164569092269640
Absolute Xtracts,09/2021,28.38728298499340,0.010106915335787800
Abundant Organics,05/2021,13.847785545223200,
Abundant Organics,06/2021,14.472782600811100,0.04513335749942010
Abundant Organics,07/2021,12.938101902245800,-0.10603909012488300
Abundant Organics,08/2021,11.692229449703200,-0.09629483999707800
Abundant Organics,09/2021,12.322101525957800,0.05387099859476070
Ace High,12/2020,2.032538830599890,
Ace High,01/2021,2.0902334492612800,0.028385493941271600
Ace High,02/2021,2.364078024199520,0.13101147866283500
Ace High,03/2021,2.2274460088026,-0.05779505329278910
Ace High,04/2021,2.085342820553090,-0.0637964681020016
Ace High,05/2021,2.380268117610320,0.14142772792580900
Ace High,06/2021,2.4062512008425700,0.010916032122609000
Ace High,07/2021,2.895000704116270,0.20311657531954900
Ace High,08/2021,2.4996184281713900,-0.13657415536469400
Ace High,09/2021,2.459032240320090,-0.016236953366117300
Aces Extracts,09/2018,32.14175934441000,
Aces Extracts,10/2018,31.3562179226156,-0.024439901169597000
Aces Extracts,11/2018,30.6215084206751,-0.023431062501022900
Aces Extracts,12/2018,30.737304563461400,0.003781529675007900
Aces Extracts,01/2019,29.05299993663950,-0.054796757579845300
Aces Extracts,02/2019,28.920763465489600,-0.004551559957261780
Aces Extracts,03/2019,28.858541274379700,-0.0021514712495105600
Aces Extracts,04/2019,30.159441965238900,0.04507853250413960
Aces Extracts,05/2019,30.055657998613300,-0.0034411766220731800
Aces Extracts,06/2019,32.890530116273600,0.09432074712159370
Aces Extracts,07/2019,36.54802057020730,0.11120193079904300
Aces Extracts,08/2019,36.501667978186500,-0.0012682654572694500
Aces Extracts,09/2019,36.90672331799850,0.011096899463717800
Aces Extracts,10/2019,37.51191891050260,0.016397976793810300
Aces Extracts,11/2019,38.49832908742550,0.02629591355420500
Aces Extracts,12/2019,36.80469257708940,-0.043992467997508400
Aces Extracts,01/2020,36.815314349638600,0.00028859832280671200
Aces Extracts,02/2020,36.80012043742850,-0.0004127063011263830
Aces Extracts,03/2020,36.35527402178420,-0.01208817825476090
Aces Extracts,04/2020,36.412007085265900,0.0015605181093568000
Aces Extracts,05/2020,35.1876923076923,-0.033623930004917900
Aces Extracts,06/2020,30.736841353626600,-0.12648885624968000
Aces Extracts,07/2020,,-1
Acme Elixirs,01/2019,33.64166665222650,
Acme Elixirs,02/2019,28.330565364106600,-0.15787271608817400
Acme Elixirs,03/2019,29.739493784663700,0.04973174387624900
Acme Elixirs,04/2019,25.47075149565060,-0.1435378261621390
Acme Elixirs,05/2019,22.485232078226600,-0.11721363690167300
Acme Elixirs,06/2019,25.12746715373100,0.11750979782249900
Acme Elixirs,07/2019,25.783562459293900,0.02611068204960110
Acme Elixirs,08/2019,25.05114579569040,-0.028406340852230400
Acme Elixirs,09/2019,25.45869408395550,0.016268648611482800
Acme Elixirs,10/2019,23.725061750917900,-0.0680958861173567
Acme Elixirs,11/2019,26.226021509392900,0.10541425707261800
Acme Elixirs,12/2019,27.34248285394570,0.04257074768862500
Acme Elixirs,01/2020,28.025715565929300,0.02498795429929300
Acme Elixirs,02/2020,28.619989047177300,0.021204578339846400
Acme Elixirs,03/2020,25.711075902351500,-0.10163921237113900
Acme Elixirs,04/2020,28.11502752797740,0.09349867873113830
Acme Elixirs,05/2020,28.97031451895590,0.030420990700699000
Acme Elixirs,06/2020,30.677693013823700,0.05893544903527440
Acme Elixirs,07/2020,31.052702349980900,0.01222417005047300
Acme Elixirs,08/2020,28.84793575448710,-0.07100079634438680
Acme Elixirs,09/2020,27.735380152259900,-0.03856621186679320
Acme Elixirs,10/2020,27.419903336010900,-0.011374526489885400
Acme Elixirs,11/2020,28.645187489464200,0.04468593993342410
Acme Elixirs,12/2020,29.876114932627000,0.04297152684427260
Acme Elixirs,01/2021,30.778965447158600,0.030219809924002000
Acme Elixirs,02/2021,36.74615382413550,0.19387228551334600
Acme Elixirs,03/2021,,-1
Acme Elixirs,05/2021,29.16999999283760,
Acme Elixirs,06/2021,,-1
Advanced Liquid Technology,04/2021,12.712508080355400,
Advanced Liquid Technology,05/2021,22.36816285552100,0.7595397158556300
Advanced Liquid Technology,06/2021,20.3904722902338,-0.08841542231524990
Advanced Liquid Technology,07/2021,21.032541899559100,0.03148870708761270
Advanced Liquid Technology,08/2021,22.410000243858900,0.06549176751330910
Advanced Liquid Technology,09/2021,35.54040830989560,0.5859173548931530
Advanced Vapor Devices,11/2020,18.301210147592200,
Advanced Vapor Devices,12/2020,20.000641004635900,0.09285893355348780
