Months,Brand,Total Sales ($)
09/2018,10x Infused,"1,711.334232"
09/2018,1964 Supply Co.,"25,475.21594500000"
09/2018,3 Bros Grow,"120,153.644757"
09/2018,3 Leaf,"6,063.5297850000000"
09/2018,350 Fire,"631,510.0481550000"
09/2018,710 Labs,"2,065,970.9803990000"
09/2018,A&A Craft Inc,"5,094.305340000000"
09/2018,AA Packaging,"2,333.3399880000000"
09/2018,Absolute Xtracts,"5,747,227.563172000"
09/2018,Aces Extracts,"155,523.768684"
09/2018,AiroPro,"151,060.747957"
09/2018,AJA (CA),"12,785.251379"
09/2018,Alien Labs,"29,197.000878"
09/2018,Allegiance Wellness Center,"33,250.91435000000"
09/2018,Alpine Vapor,"80,399.679322"
09/2018,Altai Brands,"139,542.80868000000"
09/2018,Americanna (CA),"84,685.26265300000"
09/2018,Amplified,"669,382.4582060000"
09/2018,Apex Solutions,"171,976.48680700000"
09/2018,ApotheCanna,"267,548.134245"
09/2018,Arcturus Cannabis,"129,791.766049"
09/2018,Artisan Canna Cigars,"21,414.550611000000"
09/2018,Atlas Edibles,"275,809.29326400000"
09/2018,Autumn Brands,"179,108.218954"
09/2018,Awakened Topicals,"14,970.389663000000"
09/2018,Bake Your Own Brownies,458.9904
09/2018,Bakked,"125,589.195909"
09/2018,Bear Labs,"52,493.90229800000"
09/2018,Beboe,"262,002.40546400000"
09/2018,Bee Line Hemp Wick,472.739283
09/2018,Beezle Extract & Creamery ,"1,065,563.3851690000"
09/2018,BeLA Blunt,"41,208.504627"
09/2018,Bhang,"179,996.15518900000"
09/2018,Bic,"34,976.614042"
09/2018,Big Al's Exotics,"152,939.79335400000"
09/2018,Big Pete's Treats,"875,534.6455180000"
09/2018,Bio Hazard Inc.,"7,100.145174000010"
09/2018,Bird Valley Organics,"328,533.9971770000"
09/2018,Biscotti,"175,061.334371"
09/2018,Blank Bar,"45,662.73600500000"
09/2018,Blessed Extracts,"44,607.76040200000"
09/2018,Bloom Farms,"3,207,236.403927000"
09/2018,Blue River Extracts,"215,011.52873100000"
09/2018,Boveda,200.57021000000000
09/2018,Brass Knuckles,"710,688.2030670000"
09/2018,Breez,"945,197.9221960010"
09/2018,Brite Labs,"964,496.8325310000"
09/2018,Buena Vista,"358,653.99850900000"
09/2018,Butter Brand,"437,818.655593"
09/2018,Cali Buds,"112,221.01141700000"
09/2018,Cali Cans,"652,771.3539460000"
09/2018,Cali Connection,"8,210.595485"
09/2018,Cali Gold,"36,082.906213000000"
09/2018,Cali Kush Farms,"131,655.429318"
09/2018,Calibueno,"43,677.14047800000"
09/2018,California Bud Company,"543,515.9970729990"
09/2018,California Dreamin',"43,476.698158"
09/2018,California Platinum Farms,"30,087.379219000000"
09/2018,Caliva,"1,213,995.175647"
09/2018,Canna Hemp,"75,249.42860700000"
09/2018,Canna Living,"6,324.092570000000"
09/2018,CannaDips,"18,320.478007"
09/2018,CannaKids,"12,350.257980000000"
09/2018,Cannatique Farms,"79,201.34566900000"
09/2018,Cannawrap,"1,030.34772"
09/2018,Canndescent,"2,362,404.3876440000"
09/2018,Care By Design ,"3,537,256.232001000"
09/2018,Carter's Aromatherapy Designs,"31,844.778925"
09/2018,CBD Alive,"330,124.66268600000"
09/2018,CBD Living Water,"16,524.779249000000"
09/2018,CCELL,"57,728.404249"
09/2018,Centurion Extracts,"26,283.032980000000"
09/2018,Cheeba Chews,"852,514.8768570000"
09/2018,Cheech's Private Stash,"30,045.419549"
09/2018,Chemistry,"552,371.0941230000"
09/2018,Chill,"632,788.795256"
09/2018,Chong's Choice,"277,515.48677700000"
09/2018,Clarified Confections,"120,494.53082400000"
09/2018,Clipper Lighters,"5,618.882681"
09/2018,Cloudious9,"3,658.8772050000000"
09/2018,Coachella Premium Cannabis,"6,020.082838000000"
09/2018,Coast,"245,811.61379100000"
09/2018,Coastal Sun Cannabis,"271,486.369217"
09/2018,Cocoa Meds,"5,527.8490250000000"
09/2018,CocoCanna USA,"2,347.7430250000000"
09/2018,Concentrate,"1,513,595.7626430000"
09/2018,Connected Cannabis Co.,"95,658.322778"
09/2018,Cookies,"519,373.3252370000"
09/2018,Cosmic View,"110,957.76806900000"
09/2018,Cosmo D's Outrageous Edibles,"19,233.471315000000"
09/2018,CouchLock (CA),"25,672.988703000000"
09/2018,CQ,"419,576.10739000000"
09/2018,Craft Cannabis Connection,"33,692.620272"
09/2018,Cream of the Crop Gardens,"178,374.3078370000"
09/2018,Creme De Canna,"275,238.2920940000"
09/2018,Creme Genetics,"69,252.17991400000"
09/2018,Crockett Family Farms,"11,539.870923"
09/2018,CRU Cannabis,"304,936.7501810000"
09/2018,Curiously Cannabis,"139,780.771077"
09/2018,Cyclone,266.75246000000000
09/2018,Cypher,"151,677.49229000000"
09/2018,Cypress Cannabis,"590,447.8842580000"
09/2018,D. Cosmo,"97,222.046004"
09/2018,Dab Face Concentrates,"80,555.9602589999"
09/2018,Dabblicious (CA),"278,453.64706900000"
09/2018,Dark Heart Nursery,"342,759.87148300000"
09/2018,Day Dreamers Chocolate,"335,741.3970550000"
09/2018,De La Beuh,549.33628
09/2018,Decibel Gardens,"65,630.20570500000"
09/2018,Defonce,"88,823.35367900010"
09/2018,Delta 9,"106,000.91627900000"
09/2018,Dime Bag (CA),"390,097.165944"
09/2018,Dip n' Dabs,"151,405.66081300000"
09/2018,District Edibles,"2,477,722.0233800000"
09/2018,DNA Genetics,"8,377.884155"
09/2018,Dom Pen,"517,122.1801550000"
09/2018,Dosist,"3,995,500.258224"
09/2018,Dr. Delights,"135,832.95929200000"
09/2018,Dr. Kerklaan Therapeutics,"380,731.33486100000"
09/2018,Dr. Norm's,"120,858.718231"
09/2018,Dr. Raw Organics,"227,249.03890100000"
09/2018,Dr. Robb Farms,"80,544.423224"
09/2018,Eden Extracts,"461,054.4059430000"
09/2018,Edi Pure,"98,243.10383400000"
09/2018,Edibles,"1,345,893.9551120000"
09/2018,Eel River Organics,"197,931.32547600000"
09/2018,Elements,"11,308.723151000000"
09/2018,Elite Garden,"302,871.3691110000"
09/2018,Emerald Family Farms,"132,526.99903100000"
09/2018,Endo Brands,"1,912.6782250000000"
09/2018,Equilibrium Genetics,"26,448.250488000000"
09/2018,Eureka Cultivation,"70,948.16914300000"
09/2018,Eve Farms,"4,858.263184"
09/2018,Eyce LLC.,"5,743.063798"
09/2018,Fade Company,"297,296.912267"
09/2018,Farmaceuticals Company,"97,904.74007900000"
09/2018,Farmer Max,"99,231.339736"
09/2018,Fiddler's Greens,"185,037.70323000000"
09/2018,Field Extracts,"91,115.17095900010"
09/2018,Fields Family Farmz,"120,693.33678700000"
09/2018,Fiori,"12,093.670932"
09/2018,First Class Concentrates,"14,752.268073000000"
09/2018,Flav,"923,888.0015400030"
09/2018,Flavor,"241,816.16904500000"
09/2018,Flavorz,"12,011.727535000000"
09/2018,Fleur D'Elite,"119,176.402306"
09/2018,FLI,"77,725.69134100000"
09/2018,FloraCal Farms,"553,304.426657"
09/2018,Floracy,"31,106.062065"
09/2018,Flow Kana,"4,665,730.050095990"
09/2018,Flower,"40,363,507.58721790"
09/2018,Flowerdaze Farms,"18,532.694737"
09/2018,Flurish Group,"28,972.120332"
09/2018,Focus Concentrates,"12,074.101942000000"
09/2018,Foria,"93,589.497033"
09/2018,Formula 420,459.94266200000000
09/2018,Foxworthy Farms,"703,819.6656870000"
09/2018,Fresh Off the Bud,"28,454.704676000000"
09/2018,Frost Los Angeles,"329,515.411967"
09/2018,Fruit Slabs,"97,014.286106"
09/2018,Fun Uncle,"343,808.1628490000"
09/2018,Ganja Gold,"441,977.7593690000"
09/2018,Garden Society,679.796207
09/2018,Gardener's,"37,506.096892"
09/2018,Gas House (CA),"152,359.027227"
09/2018,Get Zen,"158,569.81518800000"
09/2018,Glass House Farms,"137,880.131744"
09/2018,Gold Coast Gardens,"290,683.96807"
09/2018,Gold Drop,"1,285,442.301631"
09/2018,Gold Flora,"89,290.350837"
09/2018,Gold Leaf (CA),"322,491.566241"
09/2018,Gold Seal Farms,"615,807.5335420000"
09/2018,Good Flower,"1,113,383.4210590000"
09/2018,Grandiflora Genetics,"47,545.577108"
09/2018,Grav Labs,"33,726.90834"
09/2018,Green Dawg Collective,"17,624.070156"
09/2018,Green Dragon Farms (CA),"105,662.23968200000"
09/2018,Greenline Organic Nurseries,"140,134.753645"
09/2018,Greenshock Farms,"67,410.28400400000"
09/2018,Grenco Science,"9,689.367387"
09/2018,Grizzly Peak Farms (CA),"350,285.458587"
09/2018,Guild Extracts,"674,163.4212270010"
09/2018,Gummi Cares,"312,667.99519700000"
09/2018,Habit,"64,834.36305700000"
09/2018,Hands In The Earth,"82,758.464076"
09/2018,Happy Sticks,"16,449.871901000000"
09/2018,Headlight Cannabis Co,"91,516.46615000000"
09/2018,Headwaters,"91,173.155638"
09/2018,Heartrock,"23,013.240956000000"
09/2018,Heavenly Sweet Medibles,"176,026.90150500000"
09/2018,Heavy Hitters,"5,390,928.2458430000"
09/2018,Henry's Original,"694,414.6002230000"
09/2018,Hepburns,"116,252.174225"
09/2018,HGH Extractions,"4,949.406801"
09/2018,Hidden Prairie Farms,"24,127.941155000000"
09/2018,HIFI Edibles,"39,782.572793000000"
09/2018,High Garden,"177,988.42013700000"
09/2018,High Hemp Herbal Wraps,"19,711.119913"
09/2018,Himalaya,"787,542.9815329990"
09/2018,Honey Vape,"463,263.98561300000"
09/2018,Honeydew Farms,"64,963.326129"
09/2018,House Weed,"234,847.27989700000"
09/2018,Humble Flower Company,"138,457.55368700000"
09/2018,Humboldt Apothecary,"347,870.376345"
09/2018,Humboldt Brothers,"90,989.438348"
09/2018,Humboldt Cannabis,"49,137.354785"
09/2018,Humboldt County Indoor,"80,880.65949800000"
09/2018,Humboldt Farms,"561,320.0433149990"
09/2018,Humboldt Harvest,"5,646.14137"
09/2018,Humboldt Seed Company,"79,930.142693"
09/2018,Humboldt Sun Growers Guild,"49,228.62632100000"
09/2018,Humboldt's Finest,"137,453.79062600000"
09/2018,I-Tal,823.790155
09/2018,IC Collective,"554,743.7860640000"
09/2018,Ignite Cannabis Company,"496,263.1904820000"
09/2018,Infused Pre Roll,"625,644.5100940010"
09/2018,Infusio,"78,335.299925"
09/2018,Infyniti Grown,"32,591.411697"
09/2018,Island Cannabis Company,"497,920.16249"
09/2018,Jade Nectar,"382,490.9034320000"
09/2018,Jahlibyrd,"60,865.092569"
09/2018,Jetty Extracts,"2,823,953.5490440000"
09/2018,Joiant,"70,870.86328200000"
09/2018,Juicy Jay's,"2,106.5826260000000"
09/2018,Juna,"38,391.218767"
09/2018,Kaizen Medicinals,"404,642.6268030000"
09/2018,Kanaplya,"3,352.558195"
09/2018,Kanehco,"391,012.6873760000"
09/2018,Kikoko,"334,783.19136500000"
09/2018,Kin Slips,"206,886.345491"
09/2018,Kind County Farms,"81,723.31207800000"
09/2018,Kind Medicine,"494,293.3363380000"
09/2018,KINDRD,"69,893.49850300000"
09/2018,King Palm,"4,253.963687"
09/2018,Kingpen,"1,114,442.9236840000"
09/2018,Kings Garden,"709,495.468189"
09/2018,Kiva Confections,"3,198,276.4909720000"
09/2018,Klear Kryptonite,160.694253
09/2018,Knbis,"178,668.522673"
09/2018,Korova,"3,488,959.4058310000"
09/2018,Kuda Cannabis,"9,107.971676000000"
09/2018,Kurvana,"5,288,324.890111000"
09/2018,Kush Queen Cannabis,"60,913.625225000000"
09/2018,Kushly,"6,562.913988"
09/2018,Kushy Punch,"2,614,440.519425000"
09/2018,La Vida Verde,"71,921.45069300000"
09/2018,Lazy 8 Bakery,"34,258.46632"
09/2018,LEAF California,"149,619.23235300000"
09/2018,Leef Organics,"247,135.5539990000"
09/2018,Legacy Strains,"367,690.01080500000"
09/2018,Legion Of Bloom,"1,021,894.4965940000"
09/2018,Lenitiv Labs,"11,123.494258000000"
09/2018,Level,"1,541,072.8001300000"
09/2018,LFTD Co,"9,651.355868000000"
09/2018,Lift Ticket Laboratories,"23,199.030389000000"
09/2018,Liquid Flower,"18,940.984588"
09/2018,Lit.Club,"28,729.215996"
09/2018,Locals Only Concentrates,"21,888.699840000000"
09/2018,Lola Lola,"273,594.63514300000"
09/2018,Los Angeles Kush,"378,709.77381500000"
09/2018,Loudpack,"1,466,727.803502"
09/2018,Lowell Herb Company,"1,602,899.4926590000"
09/2018,Loyal Oil Co.,"51,823.770701000000"
09/2018,Lucky420,"10,907.925894"
09/2018,Lulu's Botanicals,"3,236.6203200000000"
09/2018,Lumpy's,"233,531.66745700000"
09/2018,Luv Buds,"30,500.411345"
09/2018,Made From Dirt,"16,473.547449"
09/2018,Madrone Grown,"1,130,768.2278100000"
09/2018,Manzanita & Madrone,"20,756.375199"
09/2018,Marley Natural,"935,525.8453700010"
09/2018,Mary's Medicinals,"696,864.7261270000"
09/2018,Marygold,"44,149.29126"
09/2018,Master Growers,"6,861.644585"
09/2018,Maven,"65,395.390364"
09/2018,Medicone,"147,461.68935400000"
09/2018,Medix Oils,"45,570.31231500000"
09/2018,Mellow's,"46,181.28124900000"
09/2018,Mirth Provisions,"195,931.89277700000"
09/2018,Miss Nug Run,"4,338.381783"
09/2018,Monterey Kush Co,"104,625.347395"
09/2018,Mood33,"34,981.568500000000"
09/2018,Moon Bar,"326,369.085159"
09/2018,Moon Lion Cannascience ,"182,311.36153600000"
09/2018,MoonRockets LA,"66,721.37717900000"
09/2018,Moxie Seeds & Extracts,"448,938.4521830000"
09/2018,Mozen,"109,185.84075800000"
09/2018,Mr. Natural,"25,365.494315000000"
09/2018,My Best Bud,"11,403.935475"
09/2018,Nameless Genetics,"7,739.767235000000"
09/2018,Nasha Extracts,"380,741.77115300000"
09/2018,Nativ,"290,251.47897900000"
09/2018,Native Humboldt Farms,"3,605.606466"
09/2018,Nectar Collector,595.342449
09/2018,Neutron Genetics,"124,833.25284100000"
09/2018,Next Level Cannabis,"19,677.415914000000"
09/2018,Northern Emeralds,"856,179.4319930000"
09/2018,Nu Bloom Botanicals,"16,910.44546"
09/2018,NUG (CA),"3,373,168.9646180000"
09/2018,O.pen,"174,182.16051600000"
09/2018,OCB Papers,"9,082.390991"
09/2018,Ocean Cannabis Company,"32,022.740040000000"
09/2018,Om Edibles,"192,750.43920700000"
09/2018,Orange Chronic,"1,470.114349"
09/2018,Outco,"105,878.699567"
09/2018,Pacific Cultivation,"50,651.894937000000"
09/2018,Pacific Organic Wellness,"81,018.017081"
09/2018,Paleo Paw,"46,422.129272000000"
09/2018,Palomar Craft Cannabis,"504,945.222859"
09/2018,Papa & Barkley,"3,381,114.9954360000"
09/2018,Paper Planes Extracts,"166,264.03967400000"
09/2018,Passiflora,"37,788.264358"
09/2018,Pax Vaporizers,"624,642.4653000000"
09/2018,Peak Industries,"107,235.00017700000"
09/2018,Pearl Pharma,"365,470.9608740000"
09/2018,Pearl2O,"1,113.254076"
09/2018,Phuckette Cannabis,"16,782.252221"
09/2018,Pina,"514,511.7007380000"
09/2018,Pineapple Kush Farms,"10,482.264678"
09/2018,Platinum Vape,"324,165.36747000000"
09/2018,Plug and Play,"67,490.57506500000"
09/2018,Plugd Industries,"32,136.945895000000"
09/2018,Plus Products,"2,052,905.4348280000"
09/2018,Poetry,"15,626.158248000000"
09/2018,Pot Deli,"91,502.87502200000"
09/2018,Potli,"2,579.6784100000000"
09/2018,Potters Cannabis Co,"112,685.6651010000"
09/2018,Prana (CA),"457,321.0658680000"
09/2018,Pre Rolled,"7,035,227.960632960"
09/2018,Primacan,"28,165.286425"
09/2018,Private Label,"1,428,026.425852000"
09/2018,Proanti,"1,786.8427130000000"
09/2018,ProCana (CA),"196,917.17702800000"
09/2018,Proof,"185,567.44373300000"
09/2018,Puff Co.,"51,454.823559"
09/2018,Punch Edibles,"87,842.29250500000"
09/2018,Pure Creek Farms,"93,764.80688100000"
09/2018,Pure Plant Herbals,"78,202.15576100000"
09/2018,Pure Ratios ,"3,446.237046"
09/2018,Pure Vape,"1,231,034.1968460000"
09/2018,PUREXTRACTS,"3,908,563.762853000"
09/2018,Purity Petibles,"13,122.768809000000"
09/2018,Purple City Genetics ,"42,089.21714700000"
09/2018,Quim Rock,"36,478.214381"
09/2018,Rad Extracts,"114,252.62249500000"
09/2018,Raw,"104,164.48073000000"
09/2018,Raw Garden,"3,611,334.4596800000"
09/2018,Real Wellness,"22,055.423110000000"
09/2018,Rebel Grown,"53,717.05198300000"
09/2018,Red Phi,"321,513.5010560000"
09/2018,Rich Soil,"52,513.477099000000"
09/2018,Rimrock Farms,"29,806.235615"
09/2018,Riverview Farms,"181,566.49784300000"
09/2018,Rokin Vapes,"5,207.327013000000"
09/2018,Roots,"707,543.1630180000"
09/2018,ROVE Brands,"682,948.3895460000"
09/2018,Royal Blunts,456.7287800000000
09/2018,Royal Reserve,"35,276.57952"
09/2018,Santa Cruz Shredder,"6,103.768833"
09/2018,Santa Cruz Veterans Alliance,"226,450.12687100000"
09/2018,Satori Chocolates (CA),"539,673.9005500000"
09/2018,Seasonal Harvest by Royal Garden Society,"63,444.82741600000"
09/2018,Seeds-Clones,"28,084.95616300000"
09/2018,Select Oil,"18,195,569.245633000"
09/2018,Sense (CA),"79,603.139818"
09/2018,Sensi Chew (CA),"691,507.7110380000"
09/2018,Seven Leaves,"402,399.6641770000"
09/2018,SF Roots,"14,434.574722000000"
09/2018,Shake,"263,999.1709530000"
09/2018,SharpStone Grinders,"1,330.328799"
09/2018,Shine Papers,"1,745.1872010000000"
09/2018,Skunk Brothers,"74,609.92716800000"
09/2018,Skunk Feather Concentrates,"870,931.712699"
09/2018,Smoke Stacks,"1,909,839.005680000"
09/2018,Smokebuddy,"1,529.214126"
09/2018,Smokiez,"242,456.31146100000"
09/2018,Sol Selects,"16,882.810394000000"
09/2018,SolDaze Snacks,"1,397.623388"
09/2018,Soma Rosa Farms,"13,297.151359000000"
09/2018,Somatik,"53,747.85877200000"
09/2018,Sonoma Pacific,"151,259.31861600000"
09/2018,Soul Sugar Kitchen (CA),"48,903.02510000000"
09/2018,Source Cannabis,"362,079.18642300000"
09/2018,Space Gem Candy,"164,259.80861200000"
09/2018,Spliffin,"1,281,969.8626540000"
09/2018,Sprig,"14,954.319775000000"
09/2018,Stash Logix,"5,770.036639"
09/2018,Stick E Vape,"329,623.57969300000"
09/2018,Stiiizy,"422,722.73624500100"
09/2018,Stokes Confections,"9,190.758936000000"
09/2018,Stone Age Gardens,"274,261.10687000000"
09/2018,Storz and Bickel,"7,439.4535240000000"
09/2018,Str8 Organics,"187,450.171377"
09/2018,Sublime Canna,"2,123,172.7935510000"
09/2018,Summer Reserve,"3,007.660578"
09/2018,Sunderstorm,"1,114,420.4616720000"
09/2018,SureFire Growers,"5,110.434171"
09/2018,Swami Select,"118,856.080144"
09/2018,Sweet ReLeaf(CA),"105,795.29026600000"
09/2018,Sweet Water Farms (CA),"43,956.24421800000"
09/2018,Synergy Cannabis Company,"149,283.41253600000"
09/2018,Talking Trees Farms,"46,433.972622000000"
09/2018,Team Elite Genetics,"18,571.547270000000"
09/2018,Temple Extracts,"55,217.09855100000"
09/2018,Terp Boys,"175,736.84135300000"
09/2018,Terp Preservation Society,"95,874.56561600000"
09/2018,TerpX,"336,534.8610190000"
09/2018,Tetra Labs,"1,819.416041"
09/2018,TGA Genetics Subcool Seeds,"3,418.6214410000000"
09/2018,THC Design,"1,209,007.6441950000"
09/2018,The Bloom Brand,"401,668.6111550000"
09/2018,The Lemon Tree,"58,836.115112"
09/2018,The Original Jack Herer,"441,168.6836280000"
09/2018,The Plug LA,"11,583.424816000000"
09/2018,The Reefinery (CA),"22,688.219172"
09/2018,The Tinley Beverage Company,"13,071.763290000000"
09/2018,The Truth,"27,927.437719000000"
09/2018,The Village,"29,000.758425"
09/2018,The Weed Brand,"736,382.8643280000"
09/2018,Therapy Tonics & Provisions,"114,497.86881100000"
09/2018,Toast,"8,794.975025000000"
09/2018,Topical,"271,602.3192590000"
09/2018,Treat Well,"11,803.885631000000"
09/2018,Treatibles,"3,844.996861"
09/2018,Triple 7,"150,872.86314100000"
09/2018,Triple J,"271,963.315345"
09/2018,Trokie,"5,275.120361"
09/2018,True Humboldt,"330,298.3191470000"
09/2018,Truly Happy Capsules,"2,268.116047"
09/2018,Tundra Labs,"21,986.919739000000"
09/2018,Tutti,"26,037.705367000000"
09/2018,Up North Humboldt,"822,442.377456"
09/2018,Utopia Farms,"454,632.51505400000"
09/2018,Valhalla,"638,636.47254"
09/2018,Vapexhale,"4,665.430296"
09/2018,Velvet Swing,"10,758.658781000000"
09/2018,Vet CBD,"425,483.15677000000"
09/2018,Viola Extracts,"583,005.352776"
09/2018,Vive,"682,031.789905"
09/2018,Vuber,"10,950.420597"
09/2018,W Vape,"4,975.570204000000"
09/2018,W!NK,"4,101.155402"
09/2018,Wally Ranchers,"134,682.227852"
09/2018,West Coast Sunrise,"614,687.080066"
09/2018,West Coast Trading Company,"301,393.820741"
09/2018,White Label,"131,421.22836400000"
09/2018,Whoopi & Maya,"39,738.724452000000"
09/2018,Willie's Reserve,"145,176.824058"
09/2018,Wonder Extracts,"166,015.42270600000"
09/2018,Wonder4Dogs,"2,699.592031"
09/2018,Yocan,"1,224.252142"
09/2018,Yummi Karma,"201,674.22133600000"
09/2018,Zen Brands,"57,093.75744400000"
09/2018,Zendo Edibles,"5,216.617537000000"
09/2018,Zig Zag,"7,115.809916"
09/2018,Zlixir,"19,135.263198000000"
09/2018,Zoma,"82,132.792532"
10/2018,1964 Supply Co.,"13,613.214128"
10/2018,3 Bros Grow,"112,932.16489500000"
10/2018,3 Leaf,"27,349.643956000000"
10/2018,350 Fire,"443,920.0274390000"
10/2018,710 Labs,"1,925,745.5567930000"
10/2018,A&A Craft Inc,"6,209.731425"
10/2018,AA Packaging,"2,801.332141"
10/2018,Absolute Xtracts,"5,837,197.8901070000"
10/2018,Aces Extracts,"266,002.8110360000"
10/2018,Afterglow,"11,587.429711"
10/2018,AiroPro,"165,711.14236700000"
10/2018,AJA (CA),"3,036.1461450000000"
10/2018,Alien Labs,"275,879.2339060000"
10/2018,Allegiance Wellness Center,"29,829.530541"
10/2018,Alpine Vapor,"97,444.14041800000"
10/2018,Altai Brands,"108,085.07797200000"
10/2018,Americanna (CA),"115,175.21617600000"
10/2018,Amplified,"524,359.8207750000"
10/2018,Apex Solutions,"218,357.931209"
10/2018,ApotheCanna,"240,108.97424900000"
10/2018,Arcturus Cannabis,"125,702.89532400000"
10/2018,Artisan Canna Cigars,"12,677.99032"
10/2018,Aster Farms,"69,610.710176"
10/2018,Atlas Edibles,"235,807.04726800000"
10/2018,Atrium,"39,399.640290000000"
10/2018,Autumn Brands,"440,900.29632700000"
10/2018,Awakened Topicals,"7,224.1801910000000"
10/2018,Bakked,"169,275.42534800000"
10/2018,Bear Labs,"44,661.687085"
10/2018,Beboe,"172,940.06808100000"
10/2018,Beezle Extract & Creamery ,"623,109.5318740000"
10/2018,Bhang,"143,502.49479500000"
10/2018,Bic,"25,848.746117000000"
10/2018,Big Al's Exotics,"32,805.308856"
10/2018,Big Pete's Treats,"835,822.9559170000"
10/2018,Bio Hazard Inc.,"6,093.827902000000"
10/2018,Bird Valley Organics,"85,114.18542600000"
10/2018,Biscotti,"122,376.39621200000"
10/2018,Blank Bar,"41,648.75526200000"
10/2018,Blessed Extracts,"33,406.04437000000"
10/2018,Bloom Farms,"3,080,900.055525010"
10/2018,Blue River Extracts,"244,149.70970300000"
10/2018,Bob Marley Papers,119.82584
10/2018,Bon Vivant,"17,890.110628000000"
10/2018,Brass Knuckles,"476,594.2292030000"
10/2018,Breez,"1,005,352.6150870000"
10/2018,Brite Labs,"777,406.2759340010"
10/2018,Brotherly Love Organics,"156,854.84254000000"
10/2018,Bubonic,"74,481.00788200000"
10/2018,Buena Vista,"299,681.2048240000"
10/2018,Butter Brand,"160,928.33908600000"
10/2018,Cali Buds,"160,190.82129300000"
10/2018,Cali Cans,"498,285.1984590000"
10/2018,Cali Connection,"6,405.972815000000"
10/2018,Cali Gold,"25,109.042743"
10/2018,Cali Kush Farms,"145,991.5966"
10/2018,Cali Stick,"45,649.083224"
10/2018,Calibueno,"59,800.827997"
10/2018,California Bud Company,"593,879.0449900000"
10/2018,California Dab Company,"106,298.02318200000"
10/2018,California Dreamin',"52,838.336622"
10/2018,California Platinum Farms,795.486667
10/2018,Caliva,"1,661,861.2415110000"
10/2018,Canna Hemp,"96,583.58939100000"
10/2018,CannaDips,"40,751.48115300000"
10/2018,CannaKids,"28,648.494136000000"
10/2018,Cannatique Farms,"16,076.081953000000"
10/2018,Cannawrap,443.846721
10/2018,Canndescent,"2,509,395.7790270000"
10/2018,Care By Design ,"3,806,232.5857840000"
10/2018,Carter's Aromatherapy Designs,"45,998.830527"
10/2018,Caviar Gold,"58,191.63154600000"
10/2018,CBD Alive,"268,956.9198150000"
10/2018,CBD Living Water,"15,661.508321"
10/2018,CCELL,"59,175.595312000000"
10/2018,Centurion Extracts,"26,233.640450000000"
10/2018,Cheeba Chews,"559,162.084694"
10/2018,Cheech's Private Stash,"123,178.019483"
10/2018,Chemistry,"460,546.46264300000"
10/2018,Chill,"547,757.832655"
10/2018,Chong's Choice,"459,294.790815"
10/2018,Clarified Confections,"55,040.57575200000"
10/2018,Classix Strains,"153,398.390572"
10/2018,Clipper Lighters,"34,648.297327"
10/2018,Coachella Premium Cannabis,"3,967.0978000000000"
10/2018,Coast,"238,043.92553400000"
10/2018,Coastal Sun Cannabis,"551,028.509176"
10/2018,Cocoa Meds,"16,840.727824000000"
10/2018,CocoCanna USA,228.891126
10/2018,Concentrate,"1,413,946.7313080000"
10/2018,Connected Cannabis Co.,"115,416.091545"
10/2018,Cookies,"426,102.7608550000"
10/2018,Cosmic View,"90,753.75486500000"
10/2018,Cosmo D's Outrageous Edibles,"15,831.810414000000"
10/2018,CQ,"303,024.77910800000"
10/2018,Craft Canna,"39,810.016312"
10/2018,Cream of the Crop Gardens,"329,649.245812"
10/2018,Creme De Canna,"51,706.458924000000"
10/2018,Creme Genetics,"149,192.909215"
10/2018,Crockett Family Farms,"10,543.856375000000"
10/2018,CRU Cannabis,"406,282.842541"
10/2018,Curiously Cannabis,"132,757.895208"
10/2018,Cyclone,339.4463550000000
10/2018,Cypher,"76,979.69120700000"
10/2018,Cypress Cannabis,"300,550.383239"
10/2018,D. Cosmo,"166,378.584025"
10/2018,Dab Face Concentrates,"70,848.96737900000"
10/2018,Dabblicious (CA),"148,100.22660900000"
10/2018,Darvey Pharms,"17,134.781487"
10/2018,Day Dreamers Chocolate,"284,899.44270500000"
10/2018,De La Beuh,"2,139.5107370000000"
10/2018,Debowler,85.87772100000000
10/2018,Decibel Gardens,"246,512.172973"
10/2018,Defonce,"103,879.719737"
10/2018,Delta 9,"120,311.59511600000"
10/2018,Devils Lettuce,"49,351.873962"
10/2018,Dime Bag (CA),"521,690.8811090000"
10/2018,Dip n' Dabs,"198,955.29624800000"
10/2018,District Edibles,"2,401,561.784215"
10/2018,Dixie,"62,718.29936900000"
10/2018,DNA Genetics,"11,022.541929000000"
10/2018,Dollar Dose,"7,181.036718000000"
10/2018,Dom Pen,"386,240.2342510000"
10/2018,Dosha Cannabis,"24,893.273230000000"
10/2018,Dosist,"3,405,318.409687000"
10/2018,Dr. Delights,"114,625.076446"
10/2018,Dr. Kerklaan Therapeutics,"255,384.45798100000"
10/2018,Dr. Norm's,"112,038.36882700000"
10/2018,Dr. Raw Organics,"268,171.6881630000"
10/2018,Dr. Robb Farms,"48,789.69388700000"
10/2018,Eden Extracts,"176,772.27408500000"
10/2018,Edi Pure,"168,137.452215"
10/2018,Edibles,"821,164.6642750000"
10/2018,Eel River Organics,"175,817.12068600000"
10/2018,Elements,"7,301.695162"
10/2018,Elite Garden,"345,064.5818820000"
